,negative,positive
gutenberg,0.1636085626911315,0.8363914373088686
's,0.3760848601735776,0.6239151398264223
birds,0.2261904761904762,0.7738095238095238
kansas,0.1522198731501057,0.8477801268498942
use,0.3534971644612476,0.6465028355387523
may,0.47447447447447455,0.5255255255255256
copy,0.5620328849028401,0.43796711509715996
terms,0.19246298788694483,0.8075370121130552
project,0.2527075812274368,0.7472924187725631
license,0.1610738255033557,0.8389261744966443
november,0.37209302325581395,0.627906976744186
english,0.6285714285714286,0.37142857142857144
cooper,0.6197183098591549,0.38028169014084506
http,0.056074766355140186,0.9439252336448598
university,0.06857142857142856,0.9314285714285714
museum,0.05376344086021505,0.9462365591397849
8,0.23076923076923078,0.7692307692307692
1,0.4065934065934066,0.5934065934065934
march,0.14754098360655737,0.8524590163934426
b.,0.20689655172413793,0.7931034482758621
lawrence,0.19047619047619047,0.8095238095238094
e.,0.0,1.0
a.,0.2380952380952381,0.761904761904762
w.,0.18867924528301885,0.8113207547169812
wilson,0.6372549019607843,0.3627450980392157
state,0.18452380952380953,0.8154761904761905
one,0.36827711941659075,0.6317228805834093
states,0.1568627450980392,0.8431372549019608
s.,0.20833333333333334,0.7916666666666666
goss,0.45,0.5499999999999999
work,0.2812920592193809,0.7187079407806191
information,0.09268292682926829,0.9073170731707317
records,0.2980769230769231,0.7019230769230769
nesting,0.3191489361702128,0.6808510638297873
distribution,0.21850393700787402,0.7814960629921259
species,0.4407582938388626,0.5592417061611374
specimens,0.2021276595744681,0.797872340425532
list,0.6,0.4
great,0.4097035040431267,0.5902964959568734
present,0.24333333333333335,0.7566666666666667
names,0.5588235294117646,0.4411764705882353
must,0.3848314606741573,0.6151685393258427
l.,0.28205128205128205,0.717948717948718
c.,0.16363636363636364,0.8363636363636363
r.,0.1764705882352941,0.8235294117647058
f.,0.1764705882352941,0.8235294117647058
m.,0.17699115044247785,0.8230088495575221
porter,0.3999999999999999,0.6
marvin,0.15,0.85
d.,0.15151515151515152,0.8484848484848485
schwilling,0.13043478260869565,0.8695652173913043
full,0.19683257918552038,0.8031674208144797
least,0.5259433962264151,0.4740566037735849
specimen,0.38666666666666666,0.6133333333333333
three,0.3616504854368932,0.6383495145631068
trumpeter,0.6521739130434783,0.34782608695652173
swan,0.6567164179104478,0.34328358208955223
turkey,0.6592592592592593,0.34074074074074073
carolina,0.6582914572864321,0.3417085427135679
