,negative,positive
0,87.2,282.52
1,21.86,98.6
2,10.18,17.78
3,18.0,19.64
4,2.86,3.58
5,359.3,680.84
6,0.82,1.86
7,68.98,51.76
8,5.04,11.04
9,40.38,60.24
10,102.9,171.42
11,57.72,27.42
12,34.02,70.4
13,51.26,71.16
14,18.22,62.54
15,10.4,46.24
16,52.84,76.88
17,14.46,27.88
18,5.54,14.54
19,4.1,14.86
20,2.32,10.84
21,0.3,0.28
22,8.64,14.66
23,6.16,4.18
24,3.04,4.16
25,0.22,0.54
26,14.42,22.22
27,1.1,2.64
28,8.54,9.86
29,45.14,92.92
30,9.78,13.92
31,0.42,0.46
32,14.84,24.96
33,11.76,21.74
34,0.82,0.58
35,12.06,8.28
36,108.28,204.12
37,1.2,1.08
38,2.04,0.98
39,4.54,9.78
40,1.62,1.12
41,32.2,64.1
42,3.1,1.08
43,1.94,1.36
44,5.04,9.42
45,0.36,2.42
46,3.52,8.18
47,21.06,38.18
48,23.16,17.16
49,29.74,37.18
50,73.72,131.3
51,0.58,0.36
52,0.24,0.56
53,6.72,11.36
54,0.34,0.46
55,4.74,7.08
56,0.74,0.68
57,1.22,1.3
58,1.2,1.24
59,2.48,1.22
60,19.68,25.02
61,24.16,81.58
62,36.56,61.94
63,18.46,39.58
64,9.16,4.08
65,2.34,2.4
66,0.18,0.22
67,0.74,0.66
68,2.3,2.7
69,2.98,4.2
70,8.3,14.04
71,88.12,152.74
72,3.76,4.38
73,25.06,41.0
74,8.16,13.56
75,53.82,73.2
76,0.4,0.62
77,41.8,75.94
78,4.2,9.84
79,12.58,10.4
80,9.32,10.3
81,4.7,5.52
82,5.52,9.6
83,16.78,44.66
84,0.22,0.22
85,85.46,168.44
86,5.16,8.4
87,1.88,1.52
88,21.86,33.12
89,17.34,29.54
90,19.14,40.5
91,10.8,14.42
92,28.46,19.1
93,43.78,70.26
94,118.48,198.44
95,33.12,59.44
96,6.74,14.58
97,103.86,212.08
98,17.98,61.36
99,20.86,35.38
100,1.06,1.16
101,122.96,195.56
102,54.92,114.54
103,9.04,10.98
104,69.0,111.96
105,20.0,39.88
106,4.5,8.58
107,4.4,10.92
108,4.38,8.2
109,12.8,21.42
110,53.26,101.44
111,8.92,15.96
112,7.66,8.24
113,8.64,16.64
114,19.04,29.8
115,2.22,4.14
116,18.46,17.12
117,21.52,75.54
118,36.16,54.68
119,11.64,20.58
120,4.34,5.5
121,7.64,8.8
122,0.34,0.48
123,0.7,1.28
124,4.76,11.18
125,5.76,10.64
126,32.62,49.1
127,222.52,402.78
128,4.14,6.3
129,21.22,42.36
130,9.8,19.5
131,12.98,20.6
132,25.8,51.3
133,21.36,41.96
134,68.84,122.18
135,4.04,14.58
136,4.6,5.08
137,20.64,35.42
138,19.08,27.42
139,50.8,89.96
140,3.04,4.54
141,8.76,10.36
142,17.08,25.0
143,3.98,2.68
144,5.38,11.34
145,31.74,51.14
146,63.62,121.76
147,25.52,51.46
148,128.22,224.7
149,8.68,15.18
150,20.42,28.0
151,3.46,3.3
152,44.3,82.36
153,0.48,1.02
154,20.98,32.58
155,41.9,60.12
156,127.52,209.2
157,13.02,25.2
158,9.66,15.8
159,7.46,22.2
160,6.9,9.42
161,39.18,54.38
162,56.54,84.96
163,100.64,162.96
164,6.6,5.32
165,0.82,0.88
166,0.96,1.42
167,59.66,114.64
168,52.4,70.3
169,20.18,39.26
170,29.94,43.6
171,4.0,5.82
172,12.74,17.64
173,16.76,33.8
174,67.8,103.22
175,19.2,34.02
176,19.7,66.52
177,17.92,33.46
178,62.52,206.52
179,49.18,90.86
180,78.32,113.82
181,71.46,126.06
182,12.82,44.8
183,8.84,17.12
184,26.56,49.54
185,36.12,61.38
186,11.72,18.84
187,26.14,37.78
188,13.14,28.68
189,4.82,6.8
190,8.88,16.24
191,5.28,21.8
192,54.56,96.62
193,78.52,135.82
194,48.9,76.34
195,9.76,19.72
196,52.32,93.94
197,28.94,45.86
198,4.48,7.2
199,10.14,21.08
200,34.74,65.16
201,21.34,35.8
202,13.8,23.04
203,1.12,3.22
204,8.58,22.16
205,2.98,4.76
206,2.24,1.98
207,41.06,34.9
208,77.38,124.6
209,41.4,70.94
210,10.44,36.28
211,0.26,0.22
212,17.26,33.28
213,8.3,17.44
214,4.6,7.82
215,26.04,35.4
216,3.02,10.14
217,213.5,332.44
218,67.26,131.58
219,20.92,40.5
220,11.58,13.02
221,2.16,1.7
222,1.3,1.94
223,18.94,34.12
224,2.4,4.12
225,8.54,13.2
226,1.96,2.68
227,23.64,35.28
228,26.12,42.58
229,31.14,51.16
230,16.22,20.8
