,negative,positive
project,0.23064118372379777,0.7693588162762023
gutenberg,0.17074954296160877,0.8292504570383913
ebook,0.2878186968838527,0.7121813031161474
showell,0.2,0.8
's,0.34459813559052865,0.6554018644094713
dictionary,0.2371794871794872,0.7628205128205129
birmingham,0.2823966558290757,0.7176033441709243
thomas,0.33884970157352146,0.6611502984264785
t.,0.30177514792899407,0.6982248520710059
harman,0.2727272727272727,0.7272727272727273
walter,0.2895238095238095,0.7104761904761905
use,0.3584597432905484,0.6415402567094516
anyone,0.2801358234295416,0.7198641765704584
cost,0.3684647302904564,0.6315352697095435
almost,0.43309162821357944,0.5669083717864205
may,0.3716520039100685,0.6283479960899315
copy,0.5465587044534413,0.45344129554655876
give,0.3272058823529412,0.6727941176470589
away,0.43811327250817694,0.561886727491823
terms,0.2390409300072657,0.7609590699927342
license,0.1731404958677686,0.8268595041322314
included,0.2246696035242291,0.775330396475771
online,0.20563847429519072,0.7943615257048093
title,0.2607843137254902,0.7392156862745097
history,0.2820710973724884,0.7179289026275116
guide,0.19310344827586207,0.806896551724138
arranged,0.30120481927710846,0.6987951807228916
author,0.22193074501573978,0.7780692549842603
release,0.3475177304964539,0.6524822695035462
date,0.25062656641604014,0.7493734335839599
december,0.2914728682170542,0.7085271317829457
26,0.2998940303779583,0.7001059696220416
language,0.3162555344718533,0.6837444655281467
english,0.3087048832271762,0.6912951167728237
start,0.28337236533957844,0.7166276346604216
produced,0.32379004771642805,0.676209952283572
david,0.26912181303116145,0.7308781869688384
distributed,0.1963927855711423,0.8036072144288577
transcriber,0.33333333333333337,0.6666666666666667
note,0.34416154521510095,0.6558384547848991
small,0.5557158890492223,0.44428411095077763
missing,0.7,0.3
original,0.3459000942507069,0.6540999057492931
words,0.5295454545454545,0.47045454545454546
marked,0.20524412296564196,0.794755877034358
example,0.3500931098696462,0.6499068901303539
four,0.3874709976798144,0.6125290023201857
half,0.40159478071765137,0.5984052192823487
containing,0.32793522267206476,0.6720647773279353
thousands,0.370600414078675,0.629399585921325
dates,0.30107526881720426,0.6989247311827956
matters,0.3137485311398355,0.6862514688601644
interest,0.23074454428754815,0.7692554557124519
connected,0.31083202511773944,0.6891679748822606
past,0.3665893271461717,0.6334106728538283
present,0.23774193548387096,0.762258064516129
town,0.32535753575357534,0.6746424642464246
public,0.19131714495952906,0.8086828550404709
buildings,0.25,0.75
chapels,0.24666666666666667,0.7533333333333334
churches,0.27044025157232704,0.729559748427673
clubs,0.2866666666666667,0.7133333333333333
friendly,0.21722846441947563,0.7827715355805244
societies,0.2562929061784897,0.7437070938215103
benevolent,0.33333333333333337,0.6666666666666667
associations,0.24418604651162792,0.7558139534883721
philanthropic,0.3181818181818182,0.6818181818181818
philosophical,0.1818181818181818,0.8181818181818182
institutions,0.23350253807106602,0.7664974619289341
schools,0.22388059701492538,0.7761194029850746
parks,0.46491228070175444,0.5350877192982457
gardens,0.30684931506849317,0.6931506849315069
theatres,0.2631578947368421,0.736842105263158
places,0.39068825910931176,0.6093117408906883
amusement,0.24523160762942778,0.7547683923705721
men,0.4008011310084826,0.5991988689915174
worth,0.21589486858573215,0.7841051314142677
noteworthy,0.23529411764705885,0.7647058823529412
manufactures,0.1746031746031746,0.8253968253968254
trades,0.2456140350877193,0.7543859649122807
population,0.21794871794871792,0.782051282051282
rates,0.2692307692307692,0.7307692307692307
statistics,0.21739130434782608,0.782608695652174
progress,0.2482715273412948,0.7517284726587053
c.,0.29058046576294755,0.7094195342370525
thos,0.13043478260869565,0.8695652173913043
