,negative,positive
0,21.54,98.9
1,470.12,742.06
2,127.66,200.32
3,26.66,48.88
4,83.88,118.84
5,7.22,12.48
6,31.2,54.4
7,45.18,57.52
8,122.06,180.98
9,35.44,27.78
10,44.9,79.48
11,70.04,83.54
12,21.22,67.86
13,85.22,279.12
14,9.7,45.18
15,5.06,12.98
16,18.78,34.16
17,5.74,15.58
18,102.08,174.14
19,51.26,107.58
20,4.34,7.66
21,8.18,17.16
22,8.68,26.82
23,11.92,23.94
24,5.78,8.3
25,10.66,29.36
26,0.42,1.64
27,8.68,11.28
28,16.76,42.1
29,68.78,96.08
30,8.66,23.18
31,23.38,37.94
32,9.7,22.34
33,38.9,108.82
34,0.12,0.3
35,39.56,63.06
36,120.06,209.46
37,43.56,79.38
38,1.56,5.02
39,7.0,25.86
40,7.2,17.72
41,5.44,7.34
42,24.62,43.1
43,22.94,67.14
44,50.68,146.74
45,17.56,35.86
46,0.96,3.0
47,18.9,29.62
48,44.06,70.82
49,32.78,47.06
50,16.8,29.58
51,88.16,121.04
52,22.06,32.02
53,43.62,71.84
54,44.76,83.22
55,279.78,392.14
56,62.4,76.8
57,2.76,6.42
58,8.18,12.26
59,271.16,424.8
60,163.5,238.74
61,13.2,22.68
62,75.56,125.74
63,18.56,26.6
64,18.52,34.58
65,49.58,79.54
66,6.76,10.64
67,2.56,8.24
68,0.92,4.1
69,137.0,228.64
70,40.88,43.4
71,74.44,102.04
72,59.46,99.74
73,36.88,59.2
74,17.42,7.02
75,26.98,35.58
76,7.66,26.76
77,55.1,93.26
78,43.94,65.24
79,2.42,3.58
80,3.86,5.0
81,62.32,99.4
82,7.54,9.8
83,53.16,78.16
84,18.4,23.0
85,31.7,46.36
86,124.76,177.46
87,98.9,146.18
88,7.92,15.18
89,3.48,5.62
90,5.72,19.6
91,29.02,51.9
92,21.28,31.24
93,16.78,29.02
94,11.48,15.0
95,33.12,51.44
96,5.22,19.46
97,77.26,124.34
98,23.12,59.92
99,75.98,246.6
100,5.48,8.98
101,67.08,111.64
102,36.86,48.3
103,30.18,54.42
104,8.88,12.64
105,4.98,11.98
106,27.36,41.7
107,6.7,13.54
108,37.1,61.78
109,13.26,19.98
110,27.98,51.7
111,18.68,28.0
112,64.82,86.42
113,125.8,188.36
114,18.26,22.82
115,57.72,72.62
116,75.0,124.52
117,78.32,103.16
118,4.66,7.36
119,0.56,3.22
120,56.26,83.86
121,76.48,90.7
122,24.88,37.28
123,59.7,160.04
124,2.52,4.76
125,98.68,226.58
126,63.76,45.04
127,23.08,31.62
128,4.98,8.68
129,5.78,7.4
130,22.6,39.58
131,16.94,23.14
132,4.44,7.84
133,44.24,66.28
134,4.86,7.7
135,32.48,54.12
136,15.26,37.9
137,6.08,10.06
138,60.08,40.52
139,6.0,11.16
140,31.9,48.58
141,4.42,10.62
142,1.44,3.88
143,10.76,19.46
144,8.12,17.66
145,2.48,4.7
146,74.18,134.02
147,28.56,54.2
148,17.0,23.0
149,1.92,7.8
150,2.48,3.26
151,11.18,33.48
152,49.06,40.9
153,17.28,30.2
154,34.42,57.56
155,4.62,7.82
156,7.24,9.26
157,5.34,8.46
158,3.08,8.84
159,23.4,64.6
160,14.88,18.42
161,5.22,4.0
162,9.84,28.18
163,4.02,3.92
164,27.72,39.94
165,9.2,33.42
166,41.02,53.1
167,18.92,27.1
168,18.72,27.9
169,43.74,49.32
170,14.88,24.54
171,42.38,65.08
172,5.2,14.6
173,34.16,60.16
174,0.98,3.02
175,9.9,16.32
176,50.34,140.62
177,1.9,3.54
178,19.52,35.34
179,26.76,41.68
180,56.22,102.04
181,2.82,6.92
182,9.68,13.86
183,0.32,0.92
184,41.36,70.82
185,34.3,48.04
186,2.12,3.04
187,0.28,0.62
188,39.66,60.64
189,12.2,18.64
190,118.56,170.24
191,27.16,51.98
192,12.08,38.66
193,120.48,183.06
194,15.9,23.0
195,2.76,6.38
196,5.14,16.86
197,21.28,39.0
198,0.26,0.62
199,19.7,51.1
200,0.12,0.4
201,42.46,62.48
202,4.2,8.08
203,5.5,6.64
204,17.34,20.86
205,25.9,35.84
206,5.0,12.16
207,30.8,55.54
208,44.34,98.94
209,11.8,21.8
210,1.78,5.9
211,2.3,6.26
212,15.48,39.24
213,5.7,8.7
214,51.34,28.86
215,13.84,30.34
216,4.66,8.22
217,16.98,19.04
218,9.58,36.56
219,43.7,139.72
220,79.82,120.5
221,63.16,88.96
222,1.44,3.62
223,32.5,48.78
224,24.64,48.56
225,0.14,0.26
226,20.12,68.68
227,14.98,23.72
228,11.4,19.02
229,1.18,3.02
230,0.2,0.88
231,6.5,6.94
232,41.6,75.8
233,29.42,39.48
234,43.64,75.46
235,5.38,10.82
236,39.22,50.3
237,2.24,4.9
238,95.88,144.98
239,1.76,3.54
240,9.72,18.32
241,1.7,5.86
242,0.88,3.28
243,0.52,2.7
244,57.46,42.26
245,12.04,15.96
246,5.98,13.32
