,negative,positive
0,88.5,280.8
1,22.7,96.5
2,11.6,15.7
3,0.5,2.5
4,27.0,43.5
5,0.4,2.1
6,0.4,2.1
7,28.6,41.1
8,5.7,11.3
9,2.3,2.0
10,43.0,49.2
11,1.4,1.5
12,66.5,70.9
13,36.3,26.9
14,28.5,43.1
15,48.6,64.6
16,16.1,56.5
17,9.9,45.1
18,2.2,5.9
19,3.2,7.1
20,8.1,17.7
21,6.6,8.6
22,11.1,22.5
23,10.1,11.7
24,5.8,7.1
25,5.4,18.2
26,0.6,9.8
27,33.0,42.4
28,22.5,34.0
29,47.7,69.4
30,7.5,7.8
31,9.3,28.6
32,57.0,77.1
33,7.8,46.8
34,12.2,54.3
35,242.0,325.2
36,1.6,3.8
37,2.0,5.1
38,3.8,5.4
39,23.2,16.3
40,16.0,18.3
41,2.2,4.3
42,19.9,25.5
43,33.9,44.4
44,165.0,214.4
45,49.9,68.1
46,4.6,3.3
47,16.4,31.2
48,4.0,4.3
49,3.5,11.6
50,84.5,112.9
51,33.2,112.9
52,5.2,17.1
53,21.4,34.4
54,9.3,13.2
55,10.0,14.9
56,0.4,1.3
57,36.9,38.8
58,5.5,12.0
59,6.6,7.2
60,6.9,8.8
61,49.5,61.0
62,43.2,45.8
63,13.5,21.4
64,10.5,13.9
65,49.2,70.1
66,6.6,18.3
67,1.4,2.7
68,9.6,14.0
69,10.1,17.7
70,2.6,10.2
71,10.4,13.7
72,4.4,10.5
73,6.3,8.1
74,3.9,4.1
75,23.6,34.0
76,6.3,14.6
77,9.1,10.2
78,13.3,17.1
79,12.6,19.6
80,0.9,1.6
81,13.3,15.8
82,15.0,25.4
83,18.1,24.9
84,2.5,3.3
85,32.9,38.3
86,19.1,24.8
87,7.0,7.7
88,14.8,20.1
89,3.1,2.5
90,24.2,39.4
91,34.0,47.4
92,39.1,49.7
93,18.6,24.6
94,37.2,47.1
95,20.3,15.8
96,10.4,13.7
97,3.4,5.0
98,9.5,14.2
99,3.3,7.1
100,1.1,1.3
101,27.0,35.2
102,13.2,20.2
103,12.3,15.4
104,188.3,214.3
105,2.1,3.2
106,14.1,17.3
107,28.6,33.9
108,62.4,82.5
109,18.8,32.6
110,9.6,9.4
111,87.0,117.3
112,22.4,31.3
113,10.7,27.7
114,59.4,68.2
115,3.9,6.1
116,6.5,7.9
117,5.4,10.1
118,26.6,34.3
119,4.0,3.1
120,1.0,1.4
121,5.8,7.6
122,33.6,46.3
123,3.2,8.9
124,2.2,2.9
125,7.8,23.8
126,27.5,49.1
127,1.8,5.2
128,0.2,1.5
129,3.3,6.3
130,1.2,1.4
131,6.1,6.8
132,8.2,19.1
133,3.0,2.6
134,1.2,1.5
135,0.8,1.5
136,55.0,64.4
137,27.2,41.9
138,25.8,33.0
139,3.2,5.0
140,37.8,52.0
141,2.0,2.7
142,102.4,118.9
143,55.4,66.6
144,10.7,9.2
145,35.7,56.8
146,25.1,81.6
147,0.8,1.0
148,5.5,16.8
149,9.0,11.3
150,3.1,3.9
151,26.6,56.8
152,0.8,2.2
153,23.0,35.0
154,39.8,52.4
155,55.3,79.9
156,32.4,39.9
157,21.6,27.1
158,12.9,26.3
159,7.4,9.0
160,3.6,11.2
161,6.2,9.6
162,12.2,7.2
163,22.6,46.2
164,1.4,2.4
165,4.6,6.5
166,14.8,21.5
167,13.7,13.2
168,17.8,23.2
169,13.9,18.5
170,9.5,12.0
171,4.7,4.2
172,16.7,21.0
173,2.3,2.4
174,11.8,17.9
175,13.6,17.5
176,27.5,29.7
177,7.1,9.5
178,6.8,11.1
179,23.6,37.7
180,13.4,19.4
181,12.5,19.8
182,5.9,7.6
183,2.1,3.7
184,1.7,0.9
185,12.8,16.3
186,9.5,7.1
187,30.3,16.9
188,1.0,0.9
189,2.8,2.8
190,1.1,1.7
191,17.5,25.7
192,8.3,12.3
193,8.3,12.4
194,5.3,11.6
195,17.4,19.4
196,9.5,9.4
197,0.7,2.6
198,20.0,23.2
199,48.1,33.4
200,3.9,2.7
201,1.0,1.7
202,15.6,24.2
203,75.7,119.7
204,9.6,13.0
205,11.0,17.5
206,79.7,124.0
207,79.6,178.0
208,2.3,4.9
209,0.7,1.7
210,5.5,8.0
211,3.9,11.7
212,4.2,6.9
213,0.9,2.1
214,36.6,36.6
215,23.0,26.0
216,47.5,53.2
217,4.9,6.9
218,11.7,19.9
219,15.6,22.7
220,7.4,26.5
221,2.0,2.5
222,4.6,8.8
223,9.0,9.7
224,22.6,31.4
225,20.3,27.7
226,20.9,28.1
227,1.0,2.1
228,3.0,3.6
229,16.4,18.0
230,20.8,24.7
231,23.8,39.5
232,7.6,13.6
233,8.6,14.0
234,21.1,27.6
235,5.0,18.5
236,3.5,3.4
237,31.0,41.1
238,10.5,7.7
239,1.2,2.3
240,2.6,4.3
241,41.1,48.7
242,5.5,6.1
243,0.3,1.1
244,47.6,52.0
245,1.2,3.3
246,17.4,19.5
247,1.9,2.8
248,27.2,28.2
249,30.1,38.8
250,2.6,1.8
251,2.1,1.0
252,2.4,4.2
253,25.3,21.7
254,6.0,3.4
255,9.6,6.7
256,2.3,1.1
257,2.7,1.9
258,3.3,3.2
259,26.6,32.8
260,2.0,2.2
261,8.6,14.6
262,16.4,22.6
263,15.8,23.1
264,2.4,5.3
265,3.7,5.6
266,1.6,1.7
267,7.6,10.8
268,1.4,1.1
269,4.9,8.3
270,9.1,12.7
271,8.4,7.4
272,2.9,5.0
273,152.9,191.6
274,7.0,7.0
275,6.7,7.8
276,2.7,3.5
277,4.6,3.0
