,negative,positive
project,0.23585494580330288,0.7641450541966971
gutenberg,0.17621299702224558,0.8237870029777544
ebook,0.34451901565995524,0.6554809843400446
acres,0.23199999999999998,0.768
diamonds,0.2723214285714286,0.7276785714285715
russell,0.23333333333333334,0.7666666666666667
h.,0.3206896551724138,0.6793103448275862
conwell,0.15,0.8500000000000001
use,0.37834164023561395,0.6216583597643861
almost,0.42922013820335636,0.5707798617966436
may,0.40929080523681954,0.5907091947631805
copy,0.5563860903477413,0.44361390965225866
give,0.38019863438857854,0.6198013656114215
away,0.45761981690899306,0.542380183091007
terms,0.23728813559322035,0.7627118644067797
license,0.1791776688042248,0.8208223311957752
online,0.2674772036474164,0.7325227963525837
language,0.3531015678254942,0.6468984321745058
distributed,0.21726190476190477,0.7827380952380952
https,0.08648648648648649,0.9135135135135135
university,0.1986062717770035,0.8013937282229966
new,0.3537464857596871,0.6462535142403129
york,0.32403100775193794,0.6759689922480621
copyright,0.2507204610951008,0.7492795389048991
printed,0.33222591362126247,0.6677740863787375
united,0.20677877036258538,0.7932212296374146
states,0.25749953419042293,0.7425004658095771
america,0.3416149068322981,0.6583850931677019
appreciation,0.24293785310734461,0.7570621468926554
though,0.41402179062055894,0.585978209379441
's,0.3887882395569129,0.6112117604430871
time,0.40371377335570086,0.5962862266442992
care,0.3885741265344665,0.6114258734655335
made,0.4114035706725002,0.5885964293274999
white,0.3055154142581888,0.6944845857418112
hands,0.4644046627810158,0.5355953372189842
story,0.3850837138508371,0.6149162861491628
power,0.4300564971751413,0.5699435028248587
one,0.4051866887452593,0.5948133112547407
man,0.41365735115431346,0.5863426488456865
day,0.4001581305455504,0.5998418694544496
life,0.41495909622127,0.5850409037787301
worth,0.26349496797804206,0.736505032021958
world,0.39392850727501344,0.6060714927249865
philadelphia,0.19607843137254902,0.8039215686274509
years,0.3983973389779256,0.6016026610220744
free,0.3705397987191217,0.6294602012808783
say,0.4039709812905689,0.5960290187094311
state,0.3347647164072285,0.6652352835927715
first,0.38998693237504084,0.6100130676249591
millions,0.37078651685393255,0.6292134831460674
people,0.4121844127332601,0.5878155872667399
public,0.19842954159592527,0.8015704584040747
works,0.24518669778296381,0.7548133022170361
truth,0.28314176245210726,0.7168582375478927
says,0.40391621129326044,0.5960837887067395
ye,0.3939114391143911,0.6060885608856089
shall,0.3855541718555417,0.6144458281444583
unto,0.42782608695652175,0.5721739130434783
place,0.4154277699859748,0.5845722300140253
men,0.4221192052980133,0.5778807947019868
city,0.41136141038197843,0.5886385896180215
good,0.2471605916534601,0.75283940834654
work,0.32233921096029433,0.6776607890397057
full,0.25695134061569014,0.7430486593843098
every,0.4036363636363636,0.5963636363636363
young,0.28214806554001887,0.7178519344599812
lecture,0.11363636363636365,0.8863636363636364
town,0.4032511798636602,0.5967488201363398
enough,0.3929757949691504,0.6070242050308495
see,0.3878061490359562,0.6121938509640438
go,0.41147069848806694,0.5885293015119331
talk,0.2548076923076923,0.7451923076923076
get,0.4116490538215778,0.5883509461784223
history,0.3185955786736021,0.6814044213263979
something,0.4032755755993354,0.5967244244006646
country,0.3858470053370231,0.6141529946629768
make,0.38742253844388336,0.6125774615561166
friends,0.3626644736842105,0.6373355263157895
going,0.41117439652834276,0.5888256034716571
many,0.4089389407003343,0.5910610592996658
found,0.291897332662305,0.708102667337695
old,0.39346790959694183,0.6065320904030581
guide,0.2875536480686695,0.7124463519313304
thought,0.42540168324407035,0.5745983167559297
duty,0.37650323774283073,0.6234967622571693
us,0.4174841772151899,0.5825158227848101
paid,0.3733905579399142,0.6266094420600858
never,0.41859073028903715,0.5814092697109629
leading,0.38675496688741723,0.6132450331125828
told,0.4039807524059492,0.5960192475940508
remember,0.39479392624728854,0.6052060737527115
took,0.4107555898226677,0.5892444101773323
could,0.43007279564190326,0.5699272043580966
would,0.4353950727401347,0.5646049272598652
tell,0.39180598069225336,0.6081940193077466
another,0.4313079916192757,0.5686920083807244
woman,0.41342141863699583,0.5865785813630042
soon,0.4291933418693983,0.5708066581306018
went,0.3970161624533775,0.6029838375466224
right,0.4266192170818505,0.5733807829181495
said,0.3729482970865819,0.6270517029134182
ever,0.4095319634703196,0.5904680365296804
far,0.3915802507351803,0.6084197492648197
name,0.3687876506024096,0.6312123493975903
ali,0.21428571428571425,0.7857142857142857
hafed,0.24,0.76
farm,0.3135593220338983,0.6864406779661018
money,0.26958206476612234,0.7304179352338777
around,0.44214711729622264,0.5578528827037773
way,0.4048566878980892,0.5951433121019108
without,0.40585076837622663,0.5941492316237734
upon,0.4390411586763223,0.5609588413236777
came,0.42915506035283196,0.5708449396471681
diamond,0.21212121212121213,0.787878787878788
true,0.27610936799641417,0.7238906320035858
children,0.40497151734852405,0.5950284826514759
great,0.39010077059869597,0.6098992294013041
wealth,0.2813102119460501,0.71868978805395
heard,0.45523458307723824,0.5447654169227617
poor,0.46611369613594983,0.5338863038640502
anything,0.41802721088435374,0.5819727891156463
want,0.4044890162368672,0.5955109837631327
know,0.3885108610311437,0.6114891389688563
experience,0.35373317013463895,0.6462668298653611
rich,0.35157894736842105,0.648421052631579
well,0.3695364238410596,0.6304635761589404
n't,0.42153846153846153,0.5784615384615384
always,0.3755044744692051,0.6244955255307949
believe,0.38125000000000003,0.61875
oh,0.41181697023545094,0.5881830297645492
left,0.4400819392284056,0.5599180607715943
charge,0.4070112893642306,0.5929887106357695
awful,0.6855263157894738,0.31447368421052635
back,0.45926691945306214,0.5407330805469378
read,0.36614299454953514,0.633857005450465
hero,0.306,0.6940000000000001
second,0.4135225999252895,0.5864774000747105
put,0.43197705682021864,0.5680229431797813
house,0.3957554924525482,0.6042445075474518
days,0.3974888485048736,0.6025111514951264
moment,0.467400162999185,0.532599837000815
door,0.4232339089481947,0.5767660910518053
discovered,0.41620111731843573,0.5837988826815642
magnificent,0.24275362318840582,0.7572463768115942
home,0.40631445343487227,0.5936855465651277
instead,0.3920653442240373,0.6079346557759626
death,0.6095526914329037,0.39044730856709625
thing,0.40157894736842104,0.5984210526315789
like,0.4243809750014845,0.5756190249985155
better,0.3750606501698205,0.6249393498301796
think,0.4043365134431916,0.5956634865568083
come,0.4081532896666341,0.591846710333366
little,0.3916675368069333,0.6083324631930668
shining,0.2611336032388664,0.7388663967611336
dollars,0.2620320855614973,0.7379679144385026
owner,0.37115296279283416,0.6288470372071658
pay,0.2955288985823337,0.7044711014176663
tax,0.46380697050938335,0.5361930294906166
to-night,0.4010840108401084,0.5989159891598916
living,0.4159827213822895,0.5840172786177106
seen,0.4104445403539059,0.589555459646094
business,0.37317581653926335,0.6268241834607365
leave,0.5920372285418821,0.4079627714581179
set,0.39268000684111515,0.6073199931588849
subject,0.5171783625730995,0.48282163742690065
god,0.276750751297696,0.723249248702304
yet,0.42750533049040507,0.5724946695095948
sense,0.31599684791174154,0.6840031520882585
need,0.3835227272727273,0.6164772727272728
mother,0.4405813622114562,0.5594186377885437
boy,0.5942225998300765,0.40577740016992353
happy,0.24424163407214253,0.7557583659278574
forth,0.39881863924742944,0.6011813607525706
take,0.4014565316340465,0.5985434683659536
preach,0.2830188679245283,0.7169811320754716
making,0.39777365491651206,0.6022263450834879
best,0.3421959625800099,0.6578040374199902
person,0.4324569356300997,0.5675430643699002
within,0.4052561837455831,0.594743816254417
women,0.4172767203513909,0.582723279648609
capital,0.4045801526717558,0.5954198473282443
things,0.3761574074074074,0.6238425925925927
ought,0.38771399798590134,0.6122860020140987
pious,0.3063063063063063,0.6936936936936936
christian,0.4266900790166813,0.5733099209833187
honest,0.275092936802974,0.724907063197026
foundation,0.1646415552855407,0.8353584447144593
sometimes,0.4245508982035928,0.5754491017964072
homes,0.4456035767511177,0.5543964232488823
character,0.3658736669401148,0.6341263330598851
honorable,0.3933333333333333,0.6066666666666667
goes,0.4044044044044044,0.5955955955955956
bible,0.3160919540229885,0.6839080459770115
gets,0.30967741935483867,0.6903225806451613
must,0.42774042456750017,0.5722595754324998
help,0.35559701492537316,0.6444029850746269
still,0.4343612334801762,0.5656387665198238
love,0.2878949236776713,0.7121050763223288
wife,0.38658428949691087,0.6134157105030892
school,0.36244979919678716,0.6375502008032129
office,0.3484042553191489,0.651595744680851
mr.,0.353865297869031,0.6461347021309691
president,0.2895642201834862,0.7104357798165137
ambition,0.2953586497890295,0.7046413502109704
desire,0.3983050847457627,0.6016949152542372
root,0.4407407407407407,0.5592592592592592
evil,0.5950310559006211,0.4049689440993789
agree,0.2788231269243928,0.7211768730756073
dollar,0.25396825396825395,0.7460317460317459
store,0.25562372188139054,0.7443762781186093
vote,0.4207161125319693,0.5792838874680307
nation,0.3426470588235294,0.6573529411764706
gave,0.39881474978050924,0.6011852502194908
known,0.39422084623323017,0.6057791537667698
fortune,0.26666666666666666,0.7333333333333333
form,0.32277526395173456,0.6772247360482655
copies,0.45976294447910165,0.5402370555208983
invent,0.3076923076923077,0.6923076923076923
general,0.3002745367192862,0.6997254632807138
war,0.5411135327917574,0.45888646720824255
officer,0.2724296005239031,0.7275703994760969
imagination,0.3615819209039548,0.6384180790960451
paragraph,0.4940934771443246,0.5059065228556754
associated,0.22955145118733508,0.7704485488126649
distributing,0.3001392757660167,0.6998607242339834
gutenberg-tm,0.2638379605378034,0.7361620394621966
electronic,0.30327868852459017,0.6967213114754098
trademark,0.3181818181818182,0.6818181818181818
distribution,0.1920935412026726,0.8079064587973274
agreement,0.2439727463312369,0.7560272536687631
fee,0.5469672571121846,0.45303274288781537
access,0.4764991896272286,0.5235008103727715
