,negative,positive
0,19.42,96.06
1,327.02,557.28
2,22.7,15.94
3,5.9,6.86
4,8.44,19.38
5,26.56,46.08
6,1.48,3.94
7,5.48,8.46
8,26.64,36.12
9,117.6,174.98
10,35.56,27.94
11,33.22,68.82
12,45.32,61.88
13,16.62,58.64
14,81.64,271.02
15,8.64,42.96
16,1.68,2.32
17,22.46,39.72
18,5.68,11.76
19,2.36,11.18
20,11.46,8.7
21,11.44,23.6
22,44.36,106.04
23,40.48,68.44
24,200.42,344.86
25,63.38,114.1
26,44.04,86.96
27,24.58,26.06
28,4.46,7.58
29,5.44,17.32
30,2.42,3.4
31,7.86,18.78
32,1.54,3.82
33,24.28,43.0
34,94.2,152.06
35,0.74,1.7
36,9.38,20.86
37,6.98,26.44
38,65.84,122.9
39,3.22,11.0
40,81.4,194.4
41,0.72,1.36
42,5.68,10.16
43,3.82,14.06
44,25.14,38.2
45,28.48,62.9
46,3.14,4.28
47,2.42,5.08
48,0.76,1.1
49,40.68,66.2
50,57.36,109.64
51,3.36,11.74
52,3.84,7.38
53,16.56,26.12
54,10.7,22.84
55,38.52,83.24
56,7.68,13.34
57,60.16,108.88
58,2.58,4.2
59,0.92,1.1
60,0.58,1.24
61,73.02,115.04
62,20.42,33.38
63,5.04,15.6
64,73.8,142.06
65,2.12,4.12
66,2.38,2.5
67,76.64,129.4
68,21.46,43.84
69,0.34,0.38
70,66.7,117.18
71,1.74,3.28
72,13.36,20.66
73,14.26,18.76
74,2.92,4.12
75,1.24,1.26
76,3.7,2.88
77,2.88,7.66
78,18.62,38.2
79,15.28,10.64
80,20.8,23.9
81,32.04,55.06
82,9.1,5.7
83,3.28,5.46
84,3.56,2.92
85,1.62,5.14
86,1.18,2.1
87,16.54,48.3
88,10.2,10.34
89,6.3,18.82
90,1.98,2.08
91,12.34,43.8
92,1.18,3.74
93,46.18,74.7
94,7.12,10.88
95,6.44,10.08
96,2.82,2.0
97,1.18,1.9
98,1.04,1.52
99,12.58,18.28
100,6.02,14.28
101,23.64,54.0
102,2.94,7.3
103,33.18,55.28
104,9.92,34.56
105,0.68,1.38
106,14.12,32.1
107,12.22,19.6
108,6.9,11.4
109,6.18,10.86
110,12.08,25.1
111,0.18,0.38
112,10.1,30.1
113,159.36,250.9
114,1.36,1.7
115,13.76,19.06
116,7.12,10.36
117,32.94,58.22
118,1.68,3.0
119,0.5,0.82
120,7.5,8.74
121,16.16,22.7
122,62.8,99.86
123,0.5,1.2
124,27.02,40.26
125,13.12,23.74
126,23.12,37.32
127,3.58,5.64
128,1.98,1.98
129,0.26,0.2
130,0.52,0.38
131,8.44,14.12
132,5.56,14.04
133,1.72,4.88
134,6.22,12.86
135,15.8,38.36
136,1.98,3.0
137,2.34,5.6
138,26.62,39.54
139,42.1,77.28
140,1.3,2.62
141,1.2,1.6
142,11.18,16.38
143,23.64,71.34
144,40.34,33.62
145,14.54,31.32
146,3.56,3.54
147,9.86,14.16
148,8.84,13.06
149,0.62,0.32
150,4.68,10.66
151,1.8,1.76
152,3.64,6.62
153,27.36,26.0
154,69.42,110.18
155,1.8,1.2
156,20.64,35.58
157,23.82,40.38
158,6.02,10.58
159,6.2,8.96
160,28.44,48.52
161,20.14,29.76
162,5.24,8.68
163,7.34,11.58
164,27.46,45.62
165,0.68,0.68
166,30.6,41.26
167,4.1,10.74
168,0.82,0.72
169,2.36,2.98
170,4.54,3.68
171,1.32,2.08
172,13.32,24.36
173,1.4,2.16
174,6.88,11.14
175,97.4,182.66
176,19.82,58.66
177,32.14,58.3
178,1.12,1.06
179,4.56,14.68
180,22.68,35.72
181,8.14,11.36
182,3.5,4.46
183,4.62,8.06
184,5.84,13.94
185,25.52,39.44
186,8.44,13.6
187,24.12,52.6
188,2.12,3.92
189,7.92,17.4
190,6.1,17.26
191,1.28,3.04
192,1.86,4.02
193,85.92,139.56
194,0.14,0.24
195,35.54,55.0
196,0.42,0.48
197,0.88,1.86
198,3.42,6.84
199,3.36,11.5
200,10.1,13.56
201,20.24,33.16
202,20.1,38.1
203,7.24,12.66
204,15.34,44.24
205,6.12,13.84
206,24.14,36.12
207,69.32,129.76
208,25.1,42.66
209,29.9,45.72
210,15.3,43.66
211,51.18,90.94
212,19.38,34.94
213,2.74,6.78
214,6.6,10.48
215,29.3,53.7
216,40.64,33.86
217,55.42,89.62
218,21.14,37.58
219,8.56,12.54
220,1.32,1.56
221,1.98,4.26
222,6.98,11.92
223,21.38,31.06
224,0.72,0.68
225,2.82,2.76
226,1.54,4.76
227,1.06,2.42
228,1.06,1.1
229,18.46,13.52
230,0.38,0.22
231,0.8,2.8
232,31.72,62.98
233,3.42,5.34
234,0.6,1.28
235,9.54,15.66
236,3.8,5.44
237,20.42,29.9
238,16.2,33.64
239,0.52,0.3
240,15.7,17.6
241,1.76,3.56
242,3.38,9.78
243,3.86,6.98
244,1.44,1.52
245,6.66,17.08
246,21.06,31.46
247,44.26,73.3
248,6.84,12.48
249,2.8,7.9
250,41.88,61.5
251,5.46,12.66
252,2.08,2.66
253,13.56,20.94
254,22.36,32.36
255,13.5,19.52
256,2.32,1.76
257,2.04,3.8
258,40.26,65.72
259,15.12,26.7
260,1.28,1.98
261,13.4,25.86
262,10.46,17.7
263,3.5,6.62
264,0.26,0.44
265,7.02,18.2
266,12.36,19.82
267,9.0,14.74
268,20.98,54.1
269,2.86,5.56
270,36.88,57.82
271,23.6,19.74
272,37.42,69.3
273,1.78,1.84
274,1.36,1.68
275,1.3,1.06
276,0.7,0.58
277,16.18,25.12
278,6.16,9.36
279,4.42,7.22
280,0.44,0.74
281,36.22,112.4
282,0.72,0.42
283,1.46,1.18
284,17.78,31.44
285,0.48,0.78
286,4.92,2.74
287,0.68,0.72
288,2.2,3.48
289,0.6,0.5
290,22.62,28.18
291,37.38,68.1
292,13.16,22.36
293,6.32,8.44
294,2.86,2.1
295,1.02,3.04
296,4.56,12.46
297,17.08,30.84
298,0.96,5.16
299,10.16,18.48
