,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,36.68,50.22,14.52,14.16,30.96,22.18,5.3,122.34
1,7.02,18.38,3.74,4.06,6.16,9.1,1.32,30.2
2,2.58,7.4,2.04,2.58,4.34,3.04,1.5,14.76
3,1.32,6.34,0.92,2.02,2.5,1.8,4.9,3.02
4,7.5,14.78,5.62,11.8,11.68,11.16,7.22,14.72
5,13.54,21.9,8.98,10.86,19.22,9.36,6.34,27.52
6,1.12,1.78,0.74,1.28,1.08,1.08,0.48,2.84
7,0.16,0.4,0.1,0.2,0.16,0.38,0.22,0.46
8,12.36,21.36,8.72,16.14,18.86,16.1,9.26,24.54
9,38.44,65.46,27.18,43.62,56.36,41.72,26.94,93.14
10,10.54,6.26,4.76,4.02,2.84,4.16,1.72,23.58
11,14.96,32.06,9.98,18.12,27.54,18.92,14.38,42.48
12,22.0,36.02,15.22,29.12,28.24,25.68,15.26,40.82
13,8.38,9.76,3.18,5.08,9.46,3.7,3.4,29.24
14,4.4,9.12,2.4,3.66,5.1,3.58,1.56,11.4
15,2.2,5.4,1.7,2.72,4.44,5.24,2.44,6.66
16,7.36,14.68,3.7,9.22,14.38,8.18,5.98,24.0
17,3.84,7.18,2.12,4.42,6.78,4.52,3.6,11.36
18,16.1,22.44,7.88,16.66,20.34,14.1,8.74,36.2
19,1.2,8.52,0.62,1.68,2.26,1.3,1.44,4.36
20,4.2,6.92,2.94,5.38,6.04,4.1,3.66,9.2
21,1.12,4.84,0.9,1.72,2.24,1.02,0.56,6.22
22,35.16,62.48,25.58,45.28,52.8,35.96,26.7,75.44
23,20.06,50.32,11.74,27.24,46.72,25.2,18.72,61.06
24,0.2,1.48,0.2,0.4,1.52,0.34,0.26,1.64
25,3.24,6.36,2.16,3.96,6.02,3.86,2.96,15.78
26,1.74,3.68,1.2,2.96,3.88,2.88,3.3,4.14
27,5.48,9.62,4.76,7.58,9.3,7.62,5.08,12.58
28,19.16,25.34,8.36,16.7,20.54,18.46,12.16,37.32
29,26.22,48.42,18.76,34.28,41.58,30.54,22.48,60.16
30,2.48,4.8,1.72,2.76,3.98,2.26,2.48,5.62
31,8.14,21.36,6.1,11.92,52.36,11.98,9.98,27.66
32,107.54,197.6,85.14,142.5,179.64,129.98,93.0,261.08
33,1.52,7.0,1.28,2.1,6.9,1.82,1.12,7.82
34,2.74,3.66,1.42,3.6,3.68,3.1,1.84,4.62
35,1.52,3.88,1.34,2.58,2.64,2.06,1.32,4.94
36,1.1,2.28,0.66,1.58,1.9,1.1,0.74,4.3
37,2.14,4.2,2.02,1.08,1.16,2.02,0.04,9.4
38,2.72,13.46,1.9,6.08,5.8,3.74,2.2,30.56
39,6.36,19.54,5.52,12.22,9.98,9.4,3.88,41.34
40,1.48,3.7,0.84,1.9,3.0,2.06,1.22,4.24
41,0.58,2.1,0.42,0.92,4.8,0.86,0.92,4.56
42,0.42,1.0,0.3,1.62,1.98,0.34,1.46,2.7
43,5.36,13.32,3.64,7.5,12.72,6.46,6.32,15.5
44,1.04,2.22,0.76,1.4,2.02,1.2,1.3,2.42
45,1.8,4.6,0.94,2.32,4.14,1.78,2.08,5.62
46,0.46,0.6,0.38,0.48,0.3,0.44,0.38,0.52
47,0.24,0.7,0.18,0.48,0.54,0.32,0.4,0.7
48,0.1,0.18,0.1,0.12,0.06,0.08,0.14,0.06
49,0.06,0.16,0.06,0.08,0.1,0.08,0.12,0.1
50,11.82,21.92,7.78,15.48,17.56,13.94,9.08,26.54
51,0.12,0.28,0.12,0.16,0.16,0.16,0.24,0.24
52,1.06,2.76,0.82,1.54,2.74,1.34,1.36,2.96
53,1.96,3.32,1.28,2.74,2.36,3.1,1.34,3.1
54,0.1,0.3,0.1,0.22,0.16,0.28,0.2,0.2
55,0.1,0.24,0.08,0.2,0.08,0.2,0.14,0.16
56,0.8,1.26,0.46,0.78,1.3,0.7,0.74,1.58
57,0.14,0.2,0.08,0.16,0.08,0.16,0.12,0.12
58,0.16,0.3,0.2,0.24,0.2,0.3,0.22,0.3
59,28.48,30.82,24.96,32.78,10.56,30.58,23.88,16.58
60,7.82,14.34,4.06,8.46,14.1,11.3,12.1,20.14
61,2.44,3.54,1.18,3.5,3.68,2.96,2.36,6.5
62,8.4,15.44,5.6,10.92,10.68,8.68,5.58,17.58
63,5.66,8.5,4.18,7.9,7.44,7.14,5.04,8.92
64,1.62,4.38,2.06,1.8,3.98,6.66,1.54,6.34
65,0.7,1.72,0.48,1.18,0.86,0.7,0.76,1.14
66,0.18,0.24,0.14,0.84,0.12,0.12,0.22,0.14
67,1.08,2.24,0.76,1.66,2.1,1.44,0.92,2.58
68,5.5,12.9,5.56,9.76,13.56,7.86,5.9,16.58
69,3.06,5.88,1.86,3.94,4.8,3.06,2.32,5.8
70,0.18,0.3,0.1,0.32,0.76,0.2,0.1,0.2
71,3.98,6.48,2.64,5.88,6.12,4.76,3.08,19.42
72,2.98,6.86,1.64,3.64,5.02,3.58,2.62,8.72
73,3.1,5.78,2.12,4.52,5.9,4.22,3.02,7.98
74,0.2,1.16,0.18,0.56,0.62,0.48,0.38,1.3
75,0.62,1.16,0.42,0.74,0.78,0.8,0.44,1.12
76,2.4,3.32,1.3,3.34,2.92,2.88,1.24,3.82
77,0.96,3.18,0.88,1.36,2.02,1.12,0.94,2.82
78,6.52,7.86,3.88,7.28,6.48,6.48,4.32,12.22
79,0.92,0.84,0.36,0.96,0.86,0.5,0.36,1.32
80,0.24,0.78,0.1,0.3,0.72,0.2,0.32,1.0
81,1.18,2.16,0.96,1.68,1.94,1.42,0.8,2.56
82,84.16,149.72,59.86,114.1,129.78,96.4,67.94,193.32
83,10.04,21.68,7.76,16.82,20.38,11.72,7.62,36.44
84,30.22,60.7,25.14,42.8,57.28,40.22,27.2,77.74
85,10.96,22.7,7.18,16.44,20.48,14.9,9.54,28.16
86,3.22,6.82,1.66,5.14,5.42,3.28,2.74,8.82
87,0.18,0.52,0.14,0.26,0.22,0.3,0.16,0.5
88,1.12,1.76,0.7,1.64,0.82,1.38,0.68,2.82
89,3.9,10.26,2.68,5.0,11.24,4.62,3.42,15.04
90,1.3,7.08,0.86,1.68,2.1,1.7,0.9,3.58
91,12.66,22.3,7.7,18.18,19.74,14.38,9.4,27.42
92,20.64,46.08,14.58,27.38,41.18,25.66,21.1,52.74
93,0.42,0.56,0.2,0.68,0.26,0.44,0.18,0.86
94,0.18,0.22,0.14,0.3,0.18,0.22,0.16,0.3
95,5.08,9.1,3.84,6.92,7.96,24.66,4.14,9.46
96,0.54,0.82,0.24,0.48,0.64,0.32,0.38,1.22
97,2.12,2.74,1.3,2.32,2.36,2.3,1.3,3.64
98,2.24,5.52,1.04,4.02,3.68,2.84,2.36,4.76
99,6.32,10.58,4.54,8.56,8.74,24.96,4.96,12.06
100,0.24,0.62,0.04,0.4,0.42,0.28,0.14,1.04
101,4.24,8.26,2.7,5.4,6.66,3.56,2.54,12.08
102,2.02,9.28,1.28,3.22,8.36,2.24,1.62,10.4
103,2.14,9.02,1.44,2.98,8.48,3.34,2.44,4.46
104,5.3,10.36,3.7,7.62,8.52,6.7,5.06,10.36
105,1.9,4.06,1.34,3.14,3.48,2.36,1.68,6.04
106,6.84,13.68,4.86,9.26,14.56,9.6,6.36,18.68
107,0.52,2.66,0.36,2.0,2.26,0.74,2.04,1.24
108,1.66,3.66,1.24,2.42,3.34,1.78,1.54,10.3
109,0.18,0.46,0.06,0.24,0.46,0.12,0.08,0.54
110,5.78,3.52,1.48,6.3,2.4,5.52,1.3,3.88
111,0.94,2.04,0.64,1.72,2.18,1.2,0.66,3.68
112,0.52,0.8,0.32,0.78,0.76,0.78,0.34,1.18
113,8.14,13.98,5.04,10.64,14.58,10.86,7.16,19.14
114,1.0,1.54,1.14,1.4,1.62,1.56,0.64,2.06
115,2.7,4.36,1.74,9.5,2.2,7.62,1.58,3.84
116,3.2,7.78,2.24,5.1,6.46,4.28,3.2,10.4
117,0.06,0.36,0.02,0.22,0.08,0.1,0.04,0.26
118,16.92,31.08,11.64,23.2,24.34,21.06,13.9,35.68
119,6.1,12.72,4.48,8.36,11.06,6.32,4.94,15.06
120,15.98,28.12,13.06,21.96,28.3,21.82,15.48,33.14
121,6.06,9.44,4.5,9.1,8.5,8.8,4.5,12.16
122,0.78,1.1,0.46,1.26,0.68,1.18,0.56,0.96
123,0.24,0.4,0.14,0.5,0.26,0.48,0.16,0.26
124,3.58,6.76,3.28,5.36,6.88,5.28,3.28,7.96
125,1.12,2.82,0.62,1.6,1.68,1.36,1.0,3.02
126,0.12,0.46,0.1,0.22,0.38,0.26,0.36,0.46
127,0.72,1.62,0.8,1.0,1.6,1.3,0.44,1.72
128,1.8,5.98,1.68,3.14,4.9,2.9,2.32,6.5
129,2.68,5.94,2.28,4.58,4.56,12.5,2.38,8.68
130,0.4,1.92,0.34,0.42,1.2,0.72,0.8,1.34
131,3.54,5.28,2.54,4.3,4.92,4.24,2.72,6.98
132,3.78,4.34,2.16,4.14,3.22,3.14,2.24,4.92
133,11.56,17.66,8.86,15.08,12.88,15.0,8.08,19.94
134,0.78,1.54,0.58,1.26,1.22,1.02,1.0,1.6
135,4.78,7.3,3.02,6.8,6.16,5.44,3.56,7.84
136,3.72,6.54,2.36,5.22,4.94,4.56,2.9,7.18
137,2.76,4.32,1.78,3.42,3.6,2.72,2.24,5.36
138,35.24,68.78,33.02,46.92,71.22,44.8,32.32,89.02
139,3.7,7.14,2.62,4.8,7.86,4.86,3.58,8.88
140,16.8,30.9,10.66,25.26,26.6,21.02,13.1,39.0
141,1.36,2.24,1.0,1.44,2.08,1.28,0.94,3.02
142,0.08,0.26,0.04,0.16,0.18,0.18,0.14,0.16
143,8.34,17.06,6.36,10.6,17.6,10.34,9.34,19.76
144,5.76,10.14,3.26,7.64,7.96,6.22,4.14,12.4
145,4.44,8.5,3.6,6.54,8.02,6.0,4.28,10.2
146,4.52,9.02,3.6,5.56,7.1,5.56,4.12,10.3
147,51.14,79.72,35.02,67.32,73.8,56.26,42.0,99.96
148,27.24,45.94,17.06,35.12,37.8,32.36,21.24,60.72
149,4.68,8.44,3.42,6.64,8.44,6.12,4.3,10.1
150,16.42,31.4,11.22,23.22,25.9,19.54,14.42,38.96
151,16.42,31.22,10.76,21.34,71.86,19.74,13.64,87.9
152,2.46,3.78,1.2,2.96,3.1,2.58,1.98,5.6
153,18.54,28.26,11.76,24.22,24.46,22.38,14.34,30.0
154,6.76,11.64,4.38,8.88,9.76,7.76,5.28,14.16
155,1.74,3.9,1.18,2.58,3.2,2.44,1.86,4.12
156,6.48,14.2,4.2,8.4,12.4,8.88,6.26,18.08
157,2.8,5.12,1.86,4.16,3.92,3.5,1.96,5.38
158,1.62,2.1,1.12,2.12,1.44,1.28,0.7,2.56
159,1.42,1.68,1.18,1.78,1.82,1.52,0.98,6.5
160,7.56,15.88,5.48,11.7,15.78,45.82,4.96,19.96
161,0.66,1.38,0.54,1.04,1.4,1.24,0.62,2.0
162,17.76,78.4,12.3,22.36,29.04,19.76,15.18,36.02
163,11.68,17.68,7.68,15.92,14.04,13.3,9.32,18.56
164,7.06,13.92,4.44,9.16,12.02,8.3,5.88,18.98
165,13.38,20.14,9.32,18.3,17.08,15.36,10.24,21.84
166,27.52,48.58,17.16,36.62,40.46,30.86,23.96,55.14
167,43.28,75.38,33.24,55.62,69.66,48.0,42.56,107.86
168,21.86,34.46,14.24,28.12,26.92,23.32,13.52,47.78
169,4.54,9.0,3.7,6.18,8.28,5.26,4.84,11.42
170,0.64,0.96,0.52,0.62,1.3,0.68,0.78,1.46
171,8.62,16.44,6.78,12.96,15.34,10.96,8.32,17.64
172,39.84,62.28,29.52,51.72,59.74,43.28,32.82,73.86
173,8.26,17.3,6.42,10.62,15.76,10.36,8.12,23.38
174,2.1,4.54,1.46,2.98,3.14,2.48,2.2,5.64
175,41.2,76.0,26.9,56.7,69.58,44.78,33.86,97.46
176,1.18,3.12,0.96,1.82,2.52,1.74,1.3,7.62
177,47.38,78.52,31.62,62.36,69.5,53.12,33.44,101.92
178,0.24,0.26,0.12,0.3,0.16,0.24,0.14,0.26
179,8.74,17.36,7.24,12.8,15.76,10.82,9.34,20.26
180,13.2,21.26,9.44,18.02,19.28,15.56,10.88,24.12
181,5.44,7.38,3.96,6.22,6.66,6.34,3.36,7.72
182,8.84,17.56,6.12,11.06,16.44,11.38,8.14,21.46
183,5.1,12.2,4.12,7.24,13.08,10.98,3.64,16.18
184,33.38,55.74,23.38,42.52,50.76,41.36,24.14,69.2
185,24.2,50.1,16.62,32.58,44.72,29.14,23.46,58.34
186,3.06,4.6,1.76,3.6,4.16,3.2,2.6,6.02
187,5.1,8.56,4.08,6.7,8.64,5.24,4.64,12.94
188,1.24,10.76,1.0,1.44,1.84,1.42,1.02,3.2
189,20.3,38.96,11.54,26.94,36.12,24.58,16.1,54.26
190,7.06,12.82,4.9,9.58,10.76,8.86,5.8,15.34
191,16.96,38.74,13.42,24.54,34.64,20.84,17.08,48.86
192,4.02,8.76,5.6,4.84,6.8,5.96,3.66,8.88
193,0.58,1.82,3.08,0.74,1.7,3.6,0.78,2.04
194,3.42,5.48,2.34,5.24,4.96,4.42,2.62,7.32
195,11.72,21.16,7.68,13.86,14.44,12.12,9.66,21.96
196,14.22,27.44,10.22,18.66,26.34,18.06,13.86,38.68
197,70.22,121.8,45.84,95.88,98.98,78.64,56.32,144.62
198,1.84,3.76,1.34,3.02,3.28,2.62,1.68,4.18
199,2.18,3.62,1.0,2.42,3.76,2.36,1.78,5.1
200,6.28,14.04,5.3,9.32,12.04,8.52,5.64,18.94
201,9.16,20.06,4.98,10.48,19.82,11.58,8.62,31.06
202,2.18,3.42,1.5,3.18,2.64,2.26,1.28,4.42
203,0.8,2.3,0.76,1.18,1.98,1.2,0.68,3.24
204,22.54,42.58,15.26,29.44,41.64,26.62,20.14,54.84
205,1.32,1.82,0.78,1.52,1.58,1.44,1.08,2.0
