,negative,positive
project,0.23287863872873013,0.7671213612712698
gutenberg,0.17209908735332466,0.8279009126466754
ebook,0.33744221879815095,0.6625577812018489
harbours,0.3658536585365854,0.6341463414634148
england,0.3742489270386266,0.6257510729613734
john,0.5237808549066827,0.47621914509331725
ruskin,0.3291139240506329,0.670886075949367
use,0.382459782044629,0.6175402179553711
almost,0.45645792563600784,0.5435420743639922
may,0.3876554174067496,0.6123445825932505
copy,0.5521517140773159,0.44784828592268416
give,0.36619718309859156,0.6338028169014085
away,0.45470536499560243,0.5452946350043975
terms,0.22747603833865815,0.7725239616613419
license,0.17142857142857143,0.8285714285714286
included,0.26495726495726496,0.7350427350427351
online,0.3195876288659794,0.6804123711340206
title,0.2556390977443609,0.7443609022556391
j.,0.20994475138121543,0.7900552486187845
w.,0.4062983995869902,0.5937016004130098
turner,0.2947976878612717,0.7052023121387284
date,0.24884792626728108,0.7511520737327189
language,0.41774891774891776,0.5822510822510821
english,0.3507664562669071,0.6492335437330928
produced,0.34915773353751917,0.6508422664624809
distributed,0.169811320754717,0.8301886792452831
https,0.10810810810810813,0.8918918918918919
library,0.2857142857142857,0.7142857142857143
edition,0.31884057971014496,0.6811594202898551
complete,0.40247678018575855,0.5975232198142416
works,0.23576009053187474,0.7642399094681251
venice,0.25,0.75
volume,0.35661764705882354,0.6433823529411765
giotto,0.3333333333333333,0.6666666666666666
lectures,0.41379310344827586,0.5862068965517241
architecture,0.22448979591836735,0.7755102040816325
joy,0.2865707434052757,0.7134292565947242
forever,0.4377880184331797,0.5622119815668203
new,0.3584843492586491,0.6415156507413509
x,0.44827586206896547,0.5517241379310345
harbors,0.2222222222222222,0.7777777777777778
art,0.2679658952496955,0.7320341047503046
dover,0.5142857142857143,0.4857142857142857
ramsgate,0.4736842105263158,0.5263157894736842
plymouth,0.4583333333333333,0.5416666666666666
whitby,0.47619047619047616,0.5238095238095238
deal,0.24936170212765957,0.7506382978723405
's,0.3820247827651807,0.6179752172348193
generally,0.3883626522327469,0.611637347767253
various,0.38048780487804873,0.6195121951219512
never,0.4078998073217726,0.5921001926782273
received,0.2463215258855586,0.7536784741144414
mr.,0.3263737524377653,0.6736262475622348
true,0.27235772357723576,0.7276422764227642
always,0.3582139286904365,0.6417860713095634
connoisseurs,0.5263157894736842,0.4736842105263158
twelve,0.4190140845070423,0.5809859154929577
set,0.3573655494933749,0.642634450506625
first,0.4188631880939573,0.5811368119060427
1856,0.36,0.64
general,0.2649329540837058,0.7350670459162941
