,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,8.0,24.5,3.0,5.0,7.5,8.0,0.0,27.5
1,32.5,37.0,24.5,32.5,30.5,26.0,19.5,47.0
2,81.0,104.0,15.0,83.0,58.5,23.0,30.5,251.5
3,58.0,59.0,1.5,92.0,35.5,3.0,34.5,178.0
4,3.0,6.0,0.0,3.0,1.0,0.0,0.0,7.5
5,4.0,18.0,1.0,4.0,8.0,1.0,0.0,16.0
6,8.0,8.5,4.5,5.0,7.0,2.5,0.5,9.5
7,10.5,9.0,7.5,3.5,3.0,5.5,0.0,14.0
8,11.0,5.0,4.0,4.0,1.0,3.0,1.0,20.0
9,8.0,7.0,2.0,4.0,6.0,2.0,2.0,23.5
10,5.0,9.0,2.0,4.0,5.0,3.0,1.0,10.0
11,2.0,5.5,0.0,2.0,0.5,0.5,0.0,6.0
12,8.0,14.0,0.5,14.5,3.5,1.0,5.0,29.5
13,2.5,3.5,0.0,2.0,1.0,1.0,1.0,7.0
14,1.5,10.5,0.0,6.0,1.0,1.0,0.0,24.5
15,1.5,11.5,1.0,7.0,2.0,3.0,0.0,29.5
16,4.5,3.5,1.0,9.5,0.5,2.5,4.0,6.0
17,21.5,23.0,5.5,32.5,5.5,7.5,9.0,33.5
18,6.0,5.0,2.0,10.5,1.0,4.5,2.5,8.5
19,3.0,4.0,0.5,6.0,1.0,1.5,1.5,6.0
20,9.5,10.0,2.0,25.0,4.5,5.0,7.5,32.0
21,11.5,20.5,2.5,48.5,8.0,6.0,6.5,80.0
22,9.0,12.0,0.0,11.0,3.0,0.0,2.5,15.0
23,6.0,8.5,0.0,7.5,1.0,0.0,0.5,8.5
24,5.5,5.5,1.0,8.5,2.5,1.0,2.0,11.0
25,8.0,8.0,1.5,13.0,3.0,0.5,3.5,22.0
26,1.0,0.0,1.0,4.5,1.5,0.5,0.0,7.0
27,3.0,7.0,0.5,2.0,2.5,0.5,0.5,14.0
28,13.0,12.0,0.0,19.5,8.0,0.0,8.0,36.5
29,8.0,14.0,0.0,12.5,11.0,0.0,11.0,35.0
30,4.0,3.0,0.5,6.5,1.5,1.5,2.0,8.5
31,5.0,4.0,0.0,9.5,3.0,0.0,3.0,17.5
32,7.5,6.0,0.0,10.5,4.5,0.0,4.5,21.0
33,7.5,6.0,0.0,10.5,4.5,0.0,4.5,21.5
34,5.0,4.0,0.0,7.0,3.0,0.0,3.0,14.0
35,7.5,6.0,0.0,10.5,5.0,0.0,4.5,22.5
36,3.0,3.0,0.0,4.0,1.5,0.0,1.5,7.5
37,3.0,3.0,0.0,4.0,1.5,0.0,1.5,7.5
38,2.5,2.0,0.0,4.0,1.5,0.0,1.5,8.0
39,2.5,2.5,0.0,3.5,2.0,0.0,2.0,7.5
40,11.0,10.5,3.5,36.0,10.5,4.0,9.0,57.0
41,2.5,2.0,0.0,4.0,1.5,0.0,1.5,7.5
42,3.0,2.5,0.0,4.0,1.5,0.0,1.5,7.5
43,2.5,2.0,0.0,6.0,2.0,0.0,1.5,9.0
44,9.5,15.0,0.0,24.5,7.0,1.5,5.5,47.0
45,3.0,4.0,0.0,4.5,3.0,0.0,3.5,9.0
46,10.0,7.5,1.5,60.0,5.0,3.5,4.0,54.5
47,4.5,3.0,0.5,10.0,2.0,1.0,2.0,10.0
48,6.5,7.5,0.5,16.0,4.0,1.0,4.0,27.0
49,3.5,3.0,0.5,23.5,4.5,1.0,1.5,34.5
50,13.5,11.5,0.5,22.0,6.5,2.0,7.0,36.0
51,4.0,2.0,0.5,4.0,1.5,0.5,1.5,7.5
52,37.5,14.5,2.0,25.5,10.5,1.0,7.0,49.0
53,4.0,2.0,0.5,5.0,1.5,0.5,1.5,9.0
54,2.5,2.5,0.0,3.5,1.5,0.0,1.5,7.5
55,6.5,10.5,1.5,13.5,3.5,1.0,4.5,28.0
56,6.5,8.5,0.0,13.5,3.0,1.0,4.0,20.0
57,3.5,6.0,0.0,9.5,3.5,0.5,2.5,25.5
58,13.5,15.5,2.0,57.0,10.5,4.5,10.5,56.5
59,2.5,2.5,0.0,5.0,1.5,0.0,1.5,9.5
60,2.5,3.0,0.0,4.0,2.0,0.0,2.0,8.0
61,2.5,2.5,0.0,4.0,1.5,0.0,1.5,7.5
62,7.5,14.5,0.0,22.5,6.0,1.0,4.5,40.0
63,8.0,31.5,1.5,39.0,13.0,2.5,11.5,97.5
64,3.0,5.0,0.0,10.5,4.5,0.5,1.5,22.5
65,2.5,3.0,0.0,15.5,2.5,0.0,1.5,23.0
66,3.0,3.0,0.0,5.0,1.5,0.0,1.5,9.0
67,2.5,2.0,0.0,4.0,1.5,0.0,1.5,7.0
68,2.5,2.0,0.0,4.0,1.5,0.0,1.5,8.5
69,2.5,6.0,0.5,9.5,2.5,1.0,2.5,25.0
70,2.5,4.5,0.0,6.5,2.0,0.5,2.0,20.5
71,4.0,3.5,0.0,7.0,2.0,0.0,3.5,13.0
72,2.5,2.5,0.0,4.0,1.5,0.0,2.0,8.0
73,8.0,3.0,1.0,11.0,5.0,2.0,4.5,20.5
74,3.5,10.5,0.0,15.0,7.0,1.5,5.0,23.0
75,2.5,2.5,0.0,3.5,1.5,0.0,1.5,8.0
76,2.5,2.5,0.0,4.0,2.0,0.0,2.0,7.5
77,4.0,4.5,1.0,6.0,2.0,1.0,2.0,8.0
78,4.5,4.5,1.0,6.5,2.0,1.5,2.5,8.0
79,4.5,4.5,1.0,6.5,2.0,1.5,2.5,8.0
80,2.5,2.0,0.0,3.5,1.5,0.0,1.5,8.0
81,2.5,2.0,0.0,3.5,1.5,0.0,1.5,7.5
82,2.5,2.0,0.0,6.0,1.5,0.0,1.5,10.5
83,9.0,7.5,0.5,12.5,5.0,0.5,4.5,27.0
84,7.0,7.5,1.0,54.0,8.0,1.5,3.5,78.0
85,5.0,5.5,0.5,47.0,7.5,2.0,3.0,69.0
86,2.5,2.0,0.0,6.0,1.5,0.0,1.5,10.5
87,2.5,3.0,0.0,4.5,2.0,0.0,2.0,9.0
88,2.5,3.0,0.0,4.0,1.5,0.0,1.5,7.0
89,2.5,3.5,0.0,4.0,1.5,0.0,1.5,7.5
90,7.5,4.0,0.5,7.5,4.0,1.0,2.0,18.0
91,2.5,2.0,0.5,3.5,1.5,0.0,1.5,8.0
92,3.5,5.5,1.0,16.0,2.5,1.0,2.0,35.0
93,5.5,9.0,0.5,30.0,5.0,4.0,6.5,67.5
94,5.5,4.5,2.0,9.5,2.0,3.5,2.5,12.0
95,2.5,3.5,0.0,4.0,1.5,0.0,1.5,10.5
96,2.5,2.0,0.5,3.5,1.5,0.0,1.5,8.0
97,2.5,2.5,0.0,4.0,2.5,0.0,2.0,9.5
98,10.5,13.0,3.5,13.5,6.0,5.0,6.5,24.5
99,4.5,3.5,1.0,10.5,2.0,1.5,2.0,22.0
100,5.0,4.0,0.0,7.0,3.0,0.0,3.0,14.5
101,7.5,5.0,1.5,20.0,4.0,2.5,4.0,42.5
102,8.0,5.5,1.0,16.0,4.0,2.5,4.5,39.5
103,5.0,4.0,0.0,7.0,3.5,0.0,3.0,15.0
104,2.5,2.0,0.0,3.5,1.5,0.0,1.5,7.5
105,3.0,4.5,0.5,8.0,3.5,0.5,1.5,16.5
106,2.5,4.5,0.5,7.5,3.0,0.5,1.5,17.5
107,3.5,2.0,0.0,3.5,1.5,0.0,1.5,7.0
108,4.0,2.5,0.0,4.5,1.5,0.5,2.0,8.0
109,4.5,7.0,1.5,9.5,3.0,1.5,3.5,23.0
110,3.5,4.0,0.0,4.0,2.5,0.0,2.5,8.5
111,2.5,2.0,0.0,4.0,1.5,0.0,1.5,8.0
112,2.5,2.0,0.0,4.0,1.5,0.0,1.5,10.5
113,3.0,2.0,0.0,4.0,1.5,0.0,1.5,11.5
114,2.5,2.0,0.0,4.0,1.5,0.0,1.5,10.5
115,3.5,4.0,0.5,8.5,2.5,1.0,2.0,9.5
116,4.0,5.0,0.0,5.5,4.5,0.0,2.5,16.0
117,3.0,4.5,0.0,4.0,1.5,0.0,1.5,15.5
118,3.0,4.5,0.0,4.0,1.5,0.0,1.5,15.5
119,4.5,6.0,0.0,8.0,3.0,0.0,1.5,23.5
120,3.0,4.5,0.0,4.0,1.5,0.0,1.5,15.5
121,3.0,2.0,0.5,4.5,1.5,0.0,1.5,7.5
122,3.0,2.0,0.0,4.5,1.5,0.0,1.5,11.0
123,3.0,2.0,0.0,4.5,1.5,0.0,1.5,7.5
124,3.5,2.0,0.0,6.0,2.0,1.0,1.5,9.0
125,4.5,5.0,0.0,7.0,2.5,0.0,2.0,14.5
126,4.0,6.0,0.0,5.5,2.0,0.0,2.0,14.0
127,3.5,4.0,0.0,5.0,2.0,0.0,1.5,11.0
128,3.5,4.0,0.0,5.0,2.0,0.0,1.5,11.0
129,8.5,6.5,0.5,9.5,9.5,1.0,5.5,25.5
130,2.5,8.0,0.0,7.0,6.0,0.5,7.5,14.0
131,2.5,2.0,0.0,3.5,2.0,0.0,2.0,9.5
132,2.5,2.0,0.0,3.5,2.0,0.0,2.0,10.5
133,3.0,3.0,0.0,4.0,1.5,0.0,1.5,7.5
134,2.5,2.0,0.0,4.5,2.0,0.5,1.5,7.0
135,4.0,2.5,2.0,5.0,2.0,2.0,2.0,11.5
136,3.0,2.0,0.0,7.5,1.5,0.5,2.0,13.5
137,2.5,2.0,0.0,3.5,1.5,0.0,1.5,7.5
138,2.0,4.0,0.5,2.5,1.0,1.0,0.0,5.0
139,0.5,1.0,0.5,4.5,0.5,0.5,1.5,7.0
140,1.5,1.5,0.5,7.0,1.0,0.5,0.0,8.0
141,1.0,0.5,1.5,5.5,0.5,1.5,1.0,6.5
142,0.5,1.5,0.5,4.5,1.0,0.5,0.5,7.5
143,6.0,7.0,3.0,25.0,4.5,2.5,3.0,45.5
144,33.5,36.5,8.0,14.0,21.0,15.0,9.5,68.0
145,2.5,1.5,0.5,2.0,1.0,0.5,0.5,7.5
146,4.0,5.5,1.0,10.0,2.0,2.0,2.0,12.0
147,3.0,1.5,0.5,5.0,2.0,1.5,2.0,10.5
148,2.0,1.0,0.5,6.0,0.0,0.5,2.0,3.0
149,1.5,15.5,0.5,3.5,2.0,0.5,0.0,13.0
150,2.0,1.5,0.0,2.0,0.5,1.0,0.0,4.0
151,0.5,5.0,0.0,5.5,4.0,1.0,1.0,22.0
