,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,36.6,50.5,15.3,14.2,30.8,21.9,4.8,124.4
1,6.4,18.0,4.0,4.1,5.5,8.6,0.4,30.9
2,1.4,6.2,2.1,2.2,3.5,1.7,0.6,14.0
3,3.1,5.1,1.8,3.4,6.1,3.5,2.8,9.6
4,6.2,15.6,4.7,6.7,14.2,7.2,7.7,20.1
5,9.8,15.5,6.3,7.2,12.8,4.6,3.8,16.8
6,0.3,0.6,0.3,0.5,0.3,0.5,0.1,0.5
7,12.9,16.6,7.9,17.2,15.7,17.2,9.4,19.4
8,32.0,75.9,24.4,38.3,59.5,34.8,26.7,98.1
9,10.2,5.1,4.5,3.5,1.9,3.4,1.2,22.9
10,12.3,25.3,7.2,15.4,17.1,14.6,11.1,31.1
11,13.0,32.7,8.7,19.8,23.1,17.4,14.0,34.7
12,8.7,9.9,3.4,5.0,8.9,3.0,3.5,28.8
13,4.2,9.4,2.4,3.6,5.0,3.3,1.3,11.6
14,2.0,4.8,1.6,3.4,5.3,2.7,1.9,14.8
15,1.0,1.4,0.2,0.6,1.3,0.8,1.2,2.7
16,0.6,1.9,0.3,0.8,1.3,0.7,0.8,4.7
17,2.2,16.2,1.2,3.7,3.1,1.8,2.5,6.6
18,1.9,1.6,1.1,2.6,1.3,2.5,0.8,5.7
19,2.6,5.4,1.0,3.4,5.9,3.1,2.8,6.2
20,8.0,20.5,5.0,13.6,21.0,11.6,11.6,26.1
21,0.0,0.5,0.1,1.3,0.6,0.1,0.5,0.9
22,3.3,4.9,3.3,3.9,3.5,4.1,2.4,6.6
23,10.2,35.7,6.5,15.0,27.7,15.3,11.8,35.1
24,2.2,5.3,2.0,1.1,1.7,2.0,0.2,12.5
25,5.7,6.5,1.6,1.6,3.5,5.4,0.4,17.3
26,0.4,2.1,0.4,0.2,1.5,0.4,0.9,1.7
27,2.8,16.6,1.8,3.7,6.4,3.1,2.6,7.7
28,0.4,1.4,0.3,0.9,0.8,0.6,0.7,1.3
29,16.9,86.9,8.4,20.7,86.0,23.1,68.7,42.2
30,1.5,0.7,0.3,1.5,0.7,1.6,0.7,0.3
31,9.3,15.3,6.5,10.6,14.9,11.0,8.0,20.9
32,4.1,15.8,1.9,15.0,4.3,3.8,4.4,5.4
