,negative,positive
project,0.2316043425814234,0.7683956574185766
gutenberg,0.16492537313432837,0.8350746268656716
ebook,0.3429319371727748,0.6570680628272251
papers,0.22058823529411764,0.7794117647058824
writings,0.22580645161290322,0.7741935483870968
abraham,0.29750271444082516,0.7024972855591748
lincoln,0.288135593220339,0.711864406779661
volume,0.22321428571428573,0.7767857142857142
seven,0.37499999999999994,0.625
use,0.32611464968152865,0.6738853503184713
anyone,0.2864583333333333,0.7135416666666666
anywhere,0.45,0.55
cost,0.4716157205240174,0.5283842794759825
almost,0.4703196347031964,0.5296803652968036
may,0.35769828926905134,0.6423017107309487
copy,0.5132978723404256,0.4867021276595745
give,0.36621315192743764,0.6337868480725624
away,0.4220532319391635,0.5779467680608364
terms,0.2414075286415712,0.7585924713584289
license,0.21601016518424396,0.783989834815756
included,0.24175824175824176,0.7582417582417583
constitutional,0.3226744186046511,0.6773255813953488
editor,0.2962962962962963,0.7037037037037037
release,0.41860465116279066,0.5813953488372093
date,0.2983425414364641,0.7016574585635359
june,0.3279569892473118,0.6720430107526881
july,0.36538461538461536,0.6346153846153846
5,0.2424242424242424,0.7575757575757577
start,0.23926380368098157,0.7607361963190185
's,0.3611825192802056,0.6388174807197944
produced,0.27564102564102566,0.7243589743589743
david,0.38461538461538464,0.6153846153846154
a.,0.2639175257731959,0.7360824742268042
1863,0.37298091042584436,0.6270190895741556
opinion,0.40869565217391307,0.591304347826087
loss,0.5813953488372093,0.4186046511627907
general,0.2470285261489699,0.75297147385103
r.,0.35294117647058826,0.6470588235294118
h.,0.2560240963855422,0.7439759036144579
milroy,0.3958333333333333,0.6041666666666666
division,0.40606060606060607,0.5939393939393939
october,0.34756097560975613,0.6524390243902439
27,0.5,0.5
last,0.3663003663003663,0.6336996336996337
lost,0.5578703703703703,0.4421296296296296
near,0.4233983286908078,0.5766016713091923
winchester,0.5375,0.4625
va.,0.32936507936507936,0.6706349206349207
time,0.355467720685112,0.644532279314888
immediate,0.41810344827586204,0.5818965517241379
commander,0.3954545454545454,0.6045454545454545
field,0.40551181102362205,0.5944881889763779
schenck,0.3877551020408163,0.6122448979591837
department,0.4450422751729439,0.5549577248270562
baltimore,0.3648648648648649,0.6351351351351352
halleck,0.30303030303030304,0.696969696969697
washington,0.34963503649635036,0.6503649635036497
put,0.4190832553788587,0.5809167446211412
arrest,0.5764705882352941,0.4235294117647059
subsequently,0.46478873239436624,0.5352112676056339
court,0.27835051546391754,0.7216494845360825
inquiry,0.3703703703703704,0.6296296296296297
reference,0.20394736842105263,0.7960526315789473
orders,0.3529411764705882,0.6470588235294118
evidence,0.3859649122807018,0.6140350877192983
foregoing,0.2903225806451613,0.7096774193548387
statement,0.24598930481283424,0.7540106951871658
together,0.3377777777777778,0.6622222222222222
came,0.39575530586766544,0.6042446941323346
well,0.36103896103896105,0.638961038961039
known,0.35817575083426023,0.6418242491657397
generals,0.4782608695652174,0.5217391304347826
thought,0.368108566581849,0.631891433418151
great,0.33822960958639353,0.6617703904136065
danger,0.574750830564784,0.42524916943521596
service,0.3305531167690957,0.6694468832309044
ought,0.45454545454545453,0.5454545454545454
although,0.3215189873417722,0.6784810126582279
withdrawal,0.4782608695652174,0.5217391304347826
never,0.38461538461538464,0.6153846153846154
ordered,0.38588235294117645,0.6141176470588235
contrary,0.5,0.5
believed,0.3303964757709251,0.669603524229075
force,0.5257731958762887,0.4742268041237113
order,0.38187702265372164,0.6181229773462783
late,0.5071225071225072,0.4928774928774929
enemy,0.5565878378378378,0.4434121621621622
reaching,0.2985074626865672,0.7014925373134329
seems,0.34523809523809523,0.6547619047619048
kept,0.4294478527607362,0.5705521472392638
least,0.40388349514563104,0.596116504854369
approach,0.3636363636363636,0.6363636363636364
upon,0.383284742468416,0.6167152575315841
subject,0.47034930950446785,0.529650690495532
question,0.3152566883586407,0.6847433116413594
made,0.3752682403433476,0.6247317596566524
whether,0.3894736842105263,0.6105263157894737
construed,0.35000000000000003,0.65
withdraw,0.48913043478260876,0.5108695652173914
accordingly,0.39285714285714285,0.6071428571428571
fact,0.4221854304635762,0.5778145695364238
received,0.19942028985507249,0.8005797101449275
prepared,0.30526315789473685,0.6947368421052632
actually,0.4920634920634921,0.5079365079365079
reached,0.4385026737967915,0.5614973262032086
serious,0.5537634408602151,0.44623655913978494
necessarily,0.4285714285714286,0.5714285714285715
due,0.33188720173535785,0.668112798264642
say,0.39667590027700833,0.6033240997229917
case,0.5483503981797497,0.4516496018202503
officers,0.3335993615323225,0.6664006384676776
court-martial,0.4777777777777778,0.5222222222222223
deemed,0.35616438356164387,0.6438356164383562
