word,negative,positive,nordic
13,danmark,0.397456279809221,0.6025437201907791,d
92,danskar,0.4782608695652174,0.5217391304347826,d
165,dansk,0.34210526315789475,0.6578947368421053,d
227,svensk,0.2857142857142857,0.7142857142857143,s
228,sverige,0.4166666666666667,0.5833333333333334,s
490,svenskar,0.23076923076923078,0.7692307692307693,s
