word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,nordic
13,danmark,0.10822060353798127,0.21019771071800208,0.05931321540062435,0.1675338189386056,0.07388137356919876,0.1404786680541103,0.054110301768990635,0.186264308012487,d
92,danskar,0.1,0.16923076923076924,0.08461538461538462,0.19230769230769232,0.07692307692307693,0.14615384615384616,0.06923076923076923,0.16153846153846155,d
165,dansk,0.11888111888111888,0.16083916083916083,0.11188811188811189,0.16083916083916083,0.08391608391608392,0.16083916083916083,0.027972027972027972,0.17482517482517482,d
227,svensk,0.04807692307692308,0.27884615384615385,0.04807692307692308,0.17307692307692307,0.11538461538461539,0.10576923076923077,0.028846153846153848,0.20192307692307693,s
228,sverige,0.11948051948051948,0.19090909090909092,0.07922077922077922,0.16233766233766234,0.07662337662337662,0.15454545454545454,0.05584415584415584,0.16103896103896104,s
490,svenskar,0.075,0.25,0.0,0.075,0.125,0.075,0.025,0.375,s
