,word,negative,positive,nordic
1,danmark,0.34202453987730064,0.6579754601226994,d
26,sverige,0.39424280350438046,0.6057571964956195,s
286,dansk,0.41,0.59,d
305,svensk,0.34106728538283065,0.6589327146171694,s
483,svensker,0.4230769230769231,0.5769230769230769,s
783,danskere,0.4032258064516129,0.5967741935483871,d
