,negative,positive
0,89.0,298.0
1,17.0,94.0
2,6.0,17.0
3,34.0,67.0
4,24.0,47.0
5,5.0,15.0
6,19.0,33.0
7,8.0,34.0
8,31.0,35.0
9,34.0,48.0
10,33.0,24.0
11,18.0,31.0
12,18.0,22.0
13,12.0,56.0
14,8.0,44.0
15,15.0,24.0
16,3.0,20.0
17,4.0,26.0
18,2.0,30.0
19,14.0,21.0
20,83.0,159.0
21,12.0,24.0
22,10.0,26.0
23,19.0,36.0
24,12.0,22.0
25,23.0,38.0
26,5.0,15.0
27,69.0,137.0
28,6.0,28.0
29,15.0,6.0
30,102.0,190.0
31,26.0,27.0
32,17.0,77.0
33,10.0,16.0
34,106.0,199.0
35,23.0,39.0
36,14.0,30.0
37,7.0,15.0
38,34.0,45.0
39,12.0,22.0
40,6.0,16.0
41,45.0,54.0
42,28.0,42.0
43,8.0,44.0
44,15.0,21.0
45,15.0,28.0
46,54.0,95.0
47,11.0,30.0
48,44.0,54.0
49,13.0,74.0
50,27.0,35.0
51,13.0,17.0
52,4.0,21.0
53,22.0,45.0
54,98.0,193.0
55,17.0,25.0
56,10.0,24.0
57,5.0,22.0
58,14.0,23.0
59,36.0,79.0
60,2.0,29.0
61,10.0,26.0
62,11.0,16.0
63,40.0,71.0
64,7.0,14.0
65,13.0,25.0
66,6.0,64.0
67,32.0,68.0
68,10.0,23.0
69,21.0,41.0
70,14.0,34.0
71,6.0,19.0
72,21.0,40.0
73,60.0,78.0
74,36.0,59.0
75,19.0,50.0
76,8.0,15.0
77,23.0,60.0
78,23.0,32.0
79,19.0,16.0
80,9.0,16.0
81,6.0,32.0
82,13.0,14.0
83,13.0,27.0
84,10.0,22.0
85,16.0,31.0
86,19.0,42.0
87,18.0,80.0
88,24.0,31.0
89,43.0,66.0
90,20.0,37.0
91,6.0,26.0
92,41.0,71.0
93,26.0,26.0
94,15.0,19.0
95,61.0,155.0
96,28.0,56.0
97,7.0,12.0
98,32.0,58.0
99,29.0,48.0
100,47.0,97.0
101,11.0,14.0
102,56.0,97.0
103,38.0,59.0
104,9.0,16.0
105,5.0,13.0
106,11.0,14.0
107,4.0,12.0
108,16.0,29.0
109,6.0,18.0
110,13.0,23.0
111,18.0,39.0
112,16.0,36.0
113,31.0,35.0
114,10.0,29.0
115,16.0,11.0
116,9.0,21.0
117,53.0,87.0
118,8.0,17.0
119,12.0,22.0
120,8.0,14.0
121,11.0,23.0
122,4.0,26.0
123,9.0,17.0
124,24.0,60.0
125,8.0,16.0
126,11.0,25.0
127,13.0,19.0
128,6.0,99.0
129,21.0,7.0
130,4.0,59.0
131,21.0,34.0
132,14.0,8.0
133,36.0,28.0
134,23.0,52.0
135,15.0,27.0
136,3.0,29.0
137,19.0,6.0
138,6.0,20.0
139,22.0,21.0
140,6.0,72.0
141,12.0,14.0
142,9.0,16.0
143,10.0,29.0
144,17.0,19.0
145,17.0,31.0
146,11.0,26.0
147,10.0,15.0
148,14.0,26.0
149,19.0,35.0
150,7.0,13.0
151,49.0,33.0
152,3.0,24.0
153,6.0,33.0
154,6.0,40.0
155,10.0,21.0
156,35.0,58.0
157,25.0,58.0
158,19.0,36.0
159,11.0,27.0
160,6.0,16.0
161,23.0,47.0
162,16.0,14.0
163,5.0,17.0
164,5.0,10.0
165,5.0,14.0
166,10.0,6.0
167,21.0,28.0
168,9.0,35.0
169,15.0,28.0
170,20.0,33.0
171,3.0,17.0
172,1.0,23.0
173,22.0,126.0
174,21.0,36.0
175,9.0,28.0
176,11.0,10.0
177,15.0,15.0
178,18.0,19.0
179,26.0,45.0
180,28.0,39.0
181,9.0,12.0
182,8.0,11.0
183,17.0,40.0
184,14.0,31.0
185,6.0,12.0
186,19.0,13.0
187,17.0,17.0
188,18.0,59.0
189,5.0,13.0
190,14.0,12.0
191,24.0,23.0
192,6.0,20.0
193,23.0,58.0
194,14.0,7.0
195,10.0,16.0
196,24.0,89.0
197,14.0,27.0
198,33.0,18.0
199,5.0,22.0
200,18.0,34.0
201,16.0,21.0
202,6.0,11.0
203,7.0,27.0
204,7.0,23.0
205,22.0,6.0
206,22.0,27.0
207,10.0,11.0
208,21.0,34.0
209,10.0,11.0
210,15.0,40.0
211,6.0,21.0
212,11.0,24.0
213,14.0,21.0
214,8.0,17.0
215,8.0,19.0
216,17.0,14.0
217,15.0,9.0
218,9.0,14.0
219,9.0,25.0
220,23.0,44.0
221,10.0,25.0
222,12.0,16.0
223,11.0,23.0
224,13.0,13.0
225,15.0,23.0
226,8.0,15.0
227,10.0,21.0
228,6.0,29.0
229,15.0,10.0
230,18.0,22.0
231,10.0,14.0
232,32.0,57.0
233,9.0,17.0
234,12.0,4.0
235,25.0,10.0
236,15.0,44.0
237,5.0,12.0
238,5.0,11.0
239,12.0,17.0
240,4.0,31.0
241,27.0,10.0
242,5.0,20.0
243,8.0,28.0
244,5.0,28.0
245,10.0,14.0
246,5.0,31.0
247,2.0,31.0
248,21.0,17.0
249,21.0,6.0
250,13.0,10.0
251,0.0,42.0
252,12.0,18.0
253,17.0,48.0
254,9.0,12.0
255,4.0,22.0
256,8.0,16.0
257,21.0,25.0
258,17.0,31.0
259,9.0,14.0
260,44.0,77.0
261,9.0,17.0
262,11.0,11.0
263,9.0,20.0
264,15.0,15.0
265,16.0,8.0
266,10.0,20.0
267,9.0,35.0
268,4.0,31.0
269,15.0,24.0
270,4.0,17.0
271,6.0,24.0
272,7.0,26.0
273,4.0,15.0
274,3.0,22.0
275,14.0,12.0
276,11.0,35.0
277,10.0,18.0
278,16.0,19.0
279,6.0,22.0
280,8.0,21.0
281,12.0,19.0
282,14.0,20.0
283,6.0,30.0
284,17.0,14.0
285,6.0,11.0
286,15.0,21.0
287,4.0,15.0
288,7.0,17.0
289,4.0,10.0
290,6.0,38.0
291,24.0,6.0
292,1.0,16.0
293,11.0,14.0
294,8.0,37.0
295,8.0,9.0
296,9.0,12.0
297,16.0,4.0
298,10.0,20.0
299,8.0,15.0
300,14.0,5.0
301,18.0,8.0
302,18.0,9.0
303,15.0,18.0
304,4.0,22.0
305,16.0,22.0
306,17.0,8.0
307,27.0,93.0
308,4.0,33.0
309,6.0,16.0
310,3.0,13.0
311,13.0,17.0
312,0.0,19.0
313,9.0,12.0
314,19.0,10.0
315,8.0,16.0
316,15.0,26.0
317,14.0,19.0
318,10.0,24.0
319,10.0,22.0
320,16.0,51.0
321,23.0,21.0
322,0.0,17.0
323,6.0,19.0
324,8.0,24.0
325,7.0,27.0
326,12.0,25.0
327,9.0,23.0
328,14.0,26.0
329,20.0,21.0
330,5.0,42.0
331,19.0,24.0
332,8.0,27.0
333,6.0,37.0
334,20.0,110.0
335,9.0,21.0
336,64.0,179.0
337,37.0,85.0
338,14.0,30.0
339,7.0,30.0
340,19.0,59.0
341,21.0,17.0
342,23.0,28.0
343,10.0,58.0
344,10.0,58.0
345,8.0,21.0
346,12.0,19.0
347,13.0,24.0
348,6.0,52.0
349,13.0,15.0
350,15.0,14.0
