Wannabe,0,0, 0
Spice Up Your Life,3,1, 4
2 Become 1,0,2, 2
Say You’ll Be There,0,0, 0
Stop,0,0, 0
Viva Forever,0,0, 0
Who Do You Think You Are,0,0, 0
Too Much,7,0, 7
Goodbye,0,0, 0
Mama,0,0, 0
If U Can’t Dance,1,9, 10
Holler,0,2, 2
Naked,1,0, 1
Move Over,0,0, 0
Love Thing,3,3, 6
