,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,8.0,17.0,3.0,5.0,6.0,10.0,2.0,33.0
1,8.0,13.0,0.0,5.0,11.0,8.0,8.0,37.0
2,6.0,10.0,1.0,4.0,9.0,7.0,8.0,32.0
3,4.0,7.0,1.0,4.0,4.0,4.0,3.0,20.0
4,8.0,9.0,4.0,2.0,8.0,3.0,2.0,10.0
5,11.0,10.0,7.0,3.0,5.0,7.0,2.0,20.0
6,11.0,5.0,4.0,4.0,2.0,4.0,2.0,24.0
7,8.0,7.0,2.0,4.0,7.0,3.0,3.0,27.0
8,38.0,49.0,14.0,15.0,31.0,23.0,6.0,126.0
9,5.0,9.0,2.0,4.0,5.0,4.0,2.0,13.0
10,2.0,5.0,0.0,2.0,3.0,2.0,2.0,15.0
11,1.0,6.0,0.0,3.0,3.0,5.0,2.0,9.0
12,7.0,4.0,2.0,2.0,4.0,4.0,1.0,16.0
13,2.0,8.0,1.0,3.0,4.0,2.0,1.0,12.0
14,5.0,7.0,0.0,1.0,6.0,5.0,5.0,14.0
15,12.0,15.0,0.0,3.0,14.0,12.0,13.0,24.0
16,12.0,16.0,2.0,7.0,14.0,16.0,11.0,30.0
17,6.0,6.0,0.0,1.0,7.0,5.0,5.0,15.0
18,4.0,6.0,0.0,2.0,6.0,4.0,4.0,18.0
19,4.0,14.0,2.0,11.0,8.0,11.0,4.0,16.0
20,3.0,11.0,1.0,10.0,2.0,7.0,4.0,7.0
21,2.0,2.0,0.0,4.0,5.0,8.0,2.0,15.0
22,5.0,7.0,0.0,3.0,7.0,10.0,3.0,17.0
23,2.0,9.0,0.0,7.0,3.0,9.0,2.0,12.0
24,2.0,5.0,2.0,2.0,2.0,2.0,0.0,8.0
25,5.0,4.0,0.0,3.0,2.0,11.0,2.0,11.0
26,0.0,4.0,0.0,1.0,0.0,8.0,3.0,10.0
27,1.0,3.0,1.0,14.0,1.0,12.0,0.0,6.0
28,6.0,4.0,3.0,4.0,1.0,3.0,0.0,7.0
29,7.0,9.0,2.0,5.0,4.0,6.0,3.0,9.0
30,0.0,4.0,0.0,2.0,1.0,8.0,2.0,11.0
31,5.0,4.0,1.0,1.0,4.0,2.0,3.0,23.0
32,7.0,4.0,1.0,1.0,3.0,6.0,2.0,8.0
33,9.0,4.0,2.0,1.0,4.0,7.0,3.0,11.0
34,12.0,2.0,3.0,0.0,4.0,11.0,2.0,7.0
35,0.0,8.0,1.0,2.0,1.0,1.0,0.0,16.0
36,0.0,9.0,2.0,3.0,2.0,3.0,0.0,21.0
37,3.0,6.0,1.0,2.0,5.0,2.0,1.0,13.0
38,13.0,19.0,7.0,5.0,14.0,2.0,2.0,45.0
39,0.0,12.0,0.0,1.0,2.0,0.0,0.0,11.0
40,2.0,4.0,2.0,1.0,1.0,2.0,0.0,9.0
41,8.0,11.0,2.0,1.0,5.0,10.0,0.0,34.0
42,6.0,2.0,1.0,1.0,3.0,3.0,0.0,10.0
43,5.0,5.0,2.0,1.0,3.0,3.0,0.0,11.0
44,30.0,32.0,11.0,10.0,24.0,13.0,4.0,89.0
45,19.0,14.0,7.0,4.0,11.0,8.0,4.0,38.0
46,7.0,4.0,2.0,1.0,3.0,6.0,0.0,14.0
47,7.0,4.0,4.0,3.0,3.0,0.0,0.0,12.0
48,30.0,33.0,6.0,9.0,19.0,14.0,8.0,62.0
49,2.0,5.0,0.0,1.0,2.0,0.0,0.0,12.0
50,7.0,5.0,2.0,2.0,2.0,3.0,1.0,13.0
51,9.0,5.0,3.0,2.0,4.0,6.0,1.0,42.0
52,10.0,6.0,0.0,0.0,4.0,2.0,4.0,7.0
53,12.0,4.0,2.0,0.0,4.0,0.0,0.0,12.0
54,9.0,6.0,4.0,3.0,5.0,2.0,1.0,13.0
55,16.0,8.0,3.0,1.0,8.0,8.0,6.0,15.0
56,11.0,2.0,2.0,1.0,2.0,6.0,1.0,10.0
57,4.0,4.0,1.0,0.0,1.0,6.0,0.0,13.0
58,4.0,4.0,1.0,0.0,1.0,6.0,0.0,13.0
59,3.0,3.0,1.0,0.0,1.0,3.0,0.0,11.0
60,5.0,6.0,1.0,1.0,3.0,5.0,0.0,15.0
61,7.0,3.0,2.0,1.0,1.0,6.0,0.0,12.0
62,0.0,4.0,0.0,1.0,3.0,1.0,0.0,12.0
63,0.0,7.0,0.0,0.0,3.0,3.0,0.0,17.0
64,6.0,1.0,4.0,2.0,0.0,11.0,0.0,9.0
