,negative,positive
319,4.8,3.8
320,11.4,14.0
321,33.2,20.8
322,22.6,21.4
323,8.6,8.6
324,84.8,108.0
325,2.2,2.2
326,8.0,9.0
327,9.6,5.6
328,26.4,70.6
329,0.8,3.0
330,3.0,0.4
331,49.8,81.0
332,16.0,39.8
333,4.6,8.6
334,15.0,22.4
335,19.4,18.0
336,10.6,5.8
337,5.2,3.4
338,2.8,0.6
339,61.0,34.6
340,15.6,26.8
341,12.0,3.8
342,4.8,5.0
343,11.8,11.4
344,2.4,3.6
345,3.2,5.6
346,4.8,1.8
347,4.8,6.0
348,29.8,99.0
349,2.4,8.2
350,7.8,37.8
351,26.6,52.2
352,11.8,16.6
353,16.0,37.2
354,4.4,5.0
355,2.6,0.4
356,2.4,0.4
357,9.2,21.2
358,9.0,29.8
359,12.6,21.4
360,4.6,10.8
361,5.0,13.6
362,2.6,0.8
363,17.2,36.2
364,15.6,38.4
365,19.0,59.2
366,3.2,12.0
367,20.0,74.4
368,7.0,2.2
369,10.8,42.4
370,4.2,35.2
371,20.2,111.6
372,21.4,17.4
373,64.0,179.0
374,37.2,85.6
375,14.4,30.6
376,15.4,17.0
377,7.0,30.2
378,18.2,19.4
379,23.0,28.0
380,20.0,20.0
381,11.2,60.2
382,10.0,58.2
383,8.0,21.0
384,12.0,48.8
385,6.2,54.2
386,13.0,15.4
387,22.0,16.6
388,15.4,14.4
389,4.6,5.6
390,0.6,2.6
391,0.6,2.6
392,0.6,2.6
393,0.6,3.4
394,2.2,5.4
395,4.6,8.8
396,1.6,1.2
397,14.6,19.2
398,4.4,7.8
399,10.4,3.8
400,1.8,13.2
401,2.4,2.4
402,1.4,3.4
403,10.0,14.0
404,5.0,10.8
405,4.2,5.2
406,3.6,6.8
407,3.2,1.6
408,2.8,10.8
409,1.6,5.2
410,12.2,13.2
411,5.2,18.0
412,1.8,3.0
413,4.0,9.0
414,8.2,13.2
415,6.2,2.8
416,18.0,29.4
417,3.4,4.6
418,2.2,2.2
419,4.4,5.0
420,6.0,9.8
421,2.8,11.6
422,1.6,2.6
423,6.8,9.6
424,2.0,7.8
425,17.4,37.4
426,1.2,6.2
427,6.2,7.2
428,6.4,10.2
429,13.6,19.8
430,3.8,15.8
431,4.8,9.8
432,4.0,15.4
433,0.6,4.4
434,4.6,14.2
435,3.2,15.6
436,1.6,2.6
437,10.8,20.6
438,3.4,3.6
439,1.6,12.8
440,6.0,10.4
441,12.2,30.4
442,4.6,13.8
443,3.4,12.2
444,10.2,29.6
445,8.8,35.8
446,1.0,3.6
447,9.4,16.6
448,3.4,3.6
449,13.4,16.0
450,3.4,7.2
451,11.2,20.0
452,7.6,15.6
453,9.6,3.0
454,12.6,18.0
455,29.2,50.2
456,2.8,1.2
457,6.8,11.2
458,7.2,12.4
459,8.8,8.2
460,4.8,6.4
461,10.6,7.4
462,9.2,3.4
463,4.2,6.0
464,14.4,25.6
465,4.0,1.2
466,11.8,16.8
467,3.6,7.8
468,4.0,6.0
469,18.2,32.2
470,6.2,5.6
471,5.6,19.8
472,5.0,5.8
473,3.8,7.6
474,1.2,2.2
475,6.6,18.6
476,13.0,18.6
477,4.4,7.2
478,10.6,58.8
479,1.0,2.4
480,3.8,7.8
481,3.6,5.6
482,5.8,4.0
483,7.4,8.8
484,0.8,2.2
485,11.8,10.4
486,19.4,6.2
487,0.6,3.6
488,3.4,7.2
489,0.8,3.4
490,1.0,2.2
491,4.6,3.0
492,10.0,12.4
493,1.0,2.6
494,4.4,11.6
495,2.6,17.4
496,0.6,5.2
497,6.4,3.2
498,6.8,14.6
499,0.6,3.4
500,2.6,8.0
501,3.6,2.2
502,3.4,18.6
503,1.0,6.4
504,0.6,3.8
505,0.6,3.4
506,0.6,3.2
507,0.4,6.0
508,2.0,3.4
509,13.4,38.4
510,0.8,3.8
511,2.6,5.8
512,1.6,6.6
513,2.0,8.4
514,2.0,4.6
515,3.0,6.2
516,1.2,5.4
517,7.2,14.2
518,2.4,4.4
519,3.4,6.4
520,1.6,4.0
521,1.2,6.2
522,2.0,5.4
523,5.8,4.0
524,5.6,11.8
525,20.8,58.6
526,4.4,16.8
527,0.6,4.6
528,2.0,6.4
529,1.8,8.8
530,0.4,4.2
531,1.4,7.2
532,1.2,7.4
533,1.2,7.6
534,6.2,16.8
535,13.0,68.2
536,4.8,28.0
537,0.6,4.8
538,24.8,66.0
539,0.8,4.2
540,6.4,16.0
541,54.2,101.8
542,3.4,5.2
543,5.8,16.2
544,14.2,46.0
545,1.2,8.2
546,0.8,3.4
547,1.8,9.2
548,6.4,6.6
549,0.6,5.2
550,0.6,5.4
551,1.0,6.6
552,2.0,8.6
553,1.8,15.0
554,0.8,6.8
555,0.8,9.4
556,3.0,13.2
557,3.4,16.2
558,7.6,21.0
559,12.2,36.4
560,49.4,194.4
561,21.4,75.8
562,1.8,8.2
563,25.0,71.4
564,23.4,60.6
565,1.0,5.2
566,3.2,9.0
567,3.0,9.8
568,19.0,53.0
569,10.0,42.2
570,4.2,2.8
571,4.0,2.8
572,4.8,13.2
573,9.8,37.2
574,4.0,8.4
575,1.2,2.8
576,8.6,25.8
577,1.0,3.4
578,3.2,4.2
579,40.0,168.2
580,3.2,6.8
581,8.4,24.8
582,5.0,18.8
583,3.6,26.2
584,3.4,9.0
585,15.4,27.2
586,18.0,11.0
587,2.0,4.4
588,1.4,16.8
589,1.0,7.2
590,2.0,10.6
591,11.6,22.8
592,6.6,32.8
593,6.4,14.4
594,3.8,13.6
595,2.0,9.2
596,7.0,20.0
597,10.8,40.6
598,17.8,57.8
599,0.8,3.0
600,5.4,26.2
601,4.0,19.8
602,6.0,10.2
603,0.8,5.2
604,1.0,5.4
605,1.8,8.6
606,1.8,8.8
607,9.2,20.4
608,1.8,4.6
609,6.4,14.0
610,19.2,62.2
611,3.2,3.4
612,9.2,10.2
613,10.2,36.4
614,5.2,14.8
615,1.8,8.2
616,4.8,10.6
617,4.6,22.0
618,7.6,23.8
619,5.4,16.2
620,1.4,6.8
621,1.2,3.8
622,0.8,2.4
623,5.8,12.6
624,10.0,20.0
625,1.8,3.0
626,5.0,11.4
627,1.6,6.0
628,1.8,12.6
629,1.8,8.8
630,1.8,7.0
631,1.4,4.8
632,1.4,8.6
633,2.0,9.4
634,1.0,5.4
635,1.4,6.4
636,1.8,6.4
637,2.0,10.0
638,1.6,8.8
639,1.2,5.0
640,2.8,9.8
641,5.6,17.8
642,2.2,15.2
643,2.2,8.0
644,1.6,6.8
645,3.6,8.4
646,0.8,5.6
647,3.2,11.6
648,0.6,5.8
649,4.2,29.8
650,2.2,20.0
651,1.4,9.8
652,1.4,9.8
653,1.0,7.0
654,2.4,19.6
655,1.4,15.2
656,0.6,5.2
657,1.2,5.8
658,4.8,11.8
659,1.4,7.2
660,1.0,6.2
661,1.6,7.0
662,1.4,8.2
663,4.8,13.6
664,35.2,60.6
665,2.8,10.0
666,3.8,14.4
667,1.0,9.2
668,0.6,6.0
669,1.0,8.0
670,1.6,10.8
671,2.2,7.8
672,0.8,5.0
673,0.8,5.0
674,4.2,18.4
675,0.6,4.2
676,7.6,20.0
677,1.2,4.4
678,1.2,5.2
679,5.8,16.2
680,1.8,4.6
681,10.0,36.6
682,30.2,36.2
683,1.8,3.2
684,1.2,10.0
685,1.0,4.6
686,8.4,24.6
687,4.2,6.2
688,2.4,7.0
689,1.2,3.0
690,2.6,3.2
691,2.0,5.6
692,5.6,12.4
693,1.6,5.2
694,1.0,3.2
695,6.4,21.0
696,0.8,3.6
697,6.4,8.6
698,2.8,14.4
699,3.0,12.4
700,0.6,4.6
701,7.4,10.4
702,2.0,3.4
703,1.0,6.4
704,4.6,10.8
705,2.8,4.0
706,2.0,8.2
707,4.4,10.4
708,4.0,11.0
709,1.0,6.6
710,5.0,15.6
711,6.2,13.6
712,8.2,25.6
713,4.4,18.4
714,1.6,3.6
715,3.6,4.8
716,4.6,7.6
717,1.2,6.0
718,1.6,9.6
719,2.0,3.2
720,2.0,3.4
721,18.8,63.4
722,3.8,10.2
723,1.2,1.4
724,2.8,11.8
725,8.6,24.6
726,1.0,6.8
727,10.4,21.8
728,4.2,5.8
729,3.0,13.0
730,6.2,15.0
731,10.6,41.0
732,4.0,9.6
733,7.0,18.2
734,1.8,5.8
735,2.2,6.2
736,4.4,8.6
737,6.8,24.6
738,1.4,5.2
739,7.6,13.8
740,6.4,10.2
741,6.4,12.2
742,1.8,1.8
743,2.0,3.8
744,4.2,5.2
745,2.0,2.8
746,4.4,11.8
747,3.0,10.6
748,2.2,6.6
749,3.2,4.4
750,48.8,76.2
751,3.8,6.6
752,5.0,28.6
753,5.0,13.4
754,0.4,3.4
755,1.4,5.6
756,7.4,17.4
757,1.6,6.0
758,6.2,19.6
759,37.0,78.6
760,1.2,3.4
761,6.2,5.4
762,1.0,3.4
763,0.8,4.0
764,8.0,14.0
765,1.6,5.0
766,2.0,9.4
767,0.6,3.4
768,2.0,9.4
769,4.6,13.8
770,11.6,28.4
771,10.8,23.6
772,1.8,3.2
773,4.2,9.0
774,2.0,4.8
775,1.6,3.0
776,3.8,6.4
777,1.4,3.6
778,0.6,4.0
779,5.0,5.8
780,0.6,5.0
781,2.2,16.6
782,9.8,26.6
783,2.4,10.2
784,0.6,5.6
785,4.8,14.6
786,1.0,4.0
787,1.8,6.2
788,1.8,4.8
789,5.2,12.4
790,3.6,11.8
791,5.0,21.2
792,4.8,6.6
793,3.4,9.6
794,1.8,3.8
795,7.0,24.6
796,3.8,7.4
797,1.6,2.8
798,5.6,7.4
799,4.8,13.6
800,11.6,23.2
801,1.2,3.0
802,0.8,5.2
803,2.2,1.6
804,2.6,1.4
805,5.0,6.6
806,2.8,6.4
807,2.4,5.4
808,2.4,10.6
809,2.6,2.6
810,8.6,15.2
811,4.4,6.0
812,1.8,2.0
813,7.2,13.8
814,12.0,33.0
815,7.0,15.4
816,2.8,6.8
817,3.6,1.8
818,2.2,1.6
819,2.4,3.6
820,3.2,5.4
821,6.8,16.4
822,3.6,9.0
823,8.4,16.8
824,1.8,2.6
825,3.4,6.0
826,3.4,1.8
827,5.6,7.0
828,9.4,22.0
829,1.6,2.4
830,0.6,7.0
831,4.4,15.0
832,2.8,4.0
833,1.0,3.2
834,5.6,11.4
835,2.8,5.2
836,0.8,3.0
837,16.0,32.8
838,16.0,36.2
839,1.8,4.0
840,5.2,19.8
841,1.4,6.8
842,1.6,4.0
843,4.0,6.2
844,1.0,4.0
845,9.2,12.2
846,3.8,7.4
847,2.8,6.4
848,2.2,6.2
849,0.8,4.4
850,5.2,15.6
851,5.4,14.8
852,4.6,4.0
853,8.6,18.4
854,5.8,27.0
855,5.4,3.8
856,6.2,25.0
857,1.2,8.2
858,15.8,57.4
859,1.8,6.4
860,2.2,19.2
861,1.4,11.0
862,2.2,12.2
863,3.0,16.8
864,4.4,10.8
865,3.6,4.8
866,1.8,10.6
867,1.6,7.2
868,0.8,3.4
869,2.2,4.2
870,1.0,4.6
871,3.2,7.6
872,3.0,10.2
873,9.2,16.8
874,2.8,4.8
875,5.8,9.8
876,11.0,23.8
877,3.6,14.8
878,2.6,3.4
879,6.4,7.0
880,0.4,5.2
881,3.6,2.0
882,2.4,6.0
883,2.0,14.0
884,11.4,34.0
885,3.4,5.0
886,2.0,6.4
887,2.0,5.0
888,0.8,4.4
