,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,7.875,18.25,4.25,4.5,4.75,8.0,0.875,28.75
1,172.125,245.125,130.75,241.625,206.125,189.25,125.625,357.75
2,1.125,6.125,0.25,0.375,3.25,1.75,2.25,5.125
3,0.0,2.5,0.0,0.0,1.125,0.0,0.875,1.875
4,14.5,75.875,9.25,23.875,66.125,18.0,53.5,77.5
5,1.0,3.125,0.0,0.25,1.625,1.5,1.25,2.75
6,1.0,3.125,0.0,0.25,1.625,1.5,1.25,2.75
7,1.0,3.125,0.0,0.25,1.625,1.5,1.25,2.75
8,3.375,6.875,2.625,3.0,2.375,0.75,1.0,11.25
9,13.875,18.5,10.625,13.375,15.625,9.625,5.5,25.875
10,2.0,5.125,2.125,2.125,3.625,3.0,1.875,9.125
11,2.25,4.125,1.125,1.625,3.375,1.125,1.875,5.375
12,17.0,21.75,11.0,21.875,16.75,18.375,14.5,25.625
13,28.875,49.0,22.75,36.75,39.25,27.375,18.5,70.375
14,11.375,5.875,4.625,4.125,1.875,3.25,1.625,22.875
15,13.375,24.25,9.125,18.625,16.5,12.875,12.25,30.75
16,24.375,38.5,16.75,34.125,25.875,28.25,17.5,41.0
17,11.0,10.25,4.625,6.625,9.5,5.0,4.0,29.625
18,38.0,50.375,15.5,14.625,29.875,21.25,4.875,122.5
19,4.75,8.875,2.5,3.625,4.25,3.0,1.125,10.875
20,0.625,1.625,0.25,0.375,0.625,1.0,0.625,1.5
21,1.625,4.5,1.375,2.875,3.125,1.625,1.25,7.875
22,8.0,17.0,4.75,9.5,13.625,9.0,10.125,21.625
23,2.75,11.0,1.875,4.125,5.0,3.0,3.375,5.875
24,2.75,5.625,1.75,2.625,4.75,2.875,2.625,17.875
25,0.75,1.75,0.125,0.625,1.25,1.25,0.625,2.75
26,2.75,4.875,2.25,3.125,3.75,3.375,1.75,5.875
27,0.5,1.5,0.0,0.125,0.625,0.75,0.5,1.375
28,0.25,1.125,0.0,0.0,0.25,0.375,0.125,1.25
29,10.75,12.0,6.5,11.0,8.125,8.0,4.5,19.5
30,2.125,14.125,1.375,2.625,2.0,1.875,2.375,6.5
31,0.875,3.875,0.625,1.5,2.75,0.875,1.375,3.75
32,1.25,2.25,0.25,0.375,1.625,1.5,0.875,2.375
33,1.625,2.125,0.5,1.625,1.375,2.0,0.625,3.25
34,1.875,10.125,1.625,2.625,9.25,8.375,7.375,5.25
35,10.375,40.0,6.5,14.125,30.25,13.625,25.375,36.5
36,2.0,3.5,0.0,0.5,2.0,3.0,1.5,3.5
37,6.125,11.75,3.375,7.625,8.5,8.5,5.125,15.125
38,18.0,7.25,3.5,1.875,7.875,17.375,4.75,13.5
39,0.5,1.0,0.0,0.125,0.625,0.75,0.375,1.25
40,42.25,70.375,39.5,58.25,57.5,50.25,32.0,89.125
41,5.5,7.25,3.125,3.875,5.375,5.5,3.75,10.0
42,0.5,0.875,0.0,0.125,0.5,0.75,0.375,0.875
